root_relax = 1899.0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 22:42:34 2025

Set parameter LogFile to value "./res/Gurobi/QP/bcc56458.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 22:42:34 2025

Set parameter LogFile to value "./res/Gurobi/QP/bcc56458.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 0 rows, 63 columns and 0 nonzeros
Model fingerprint: 0x1cec1e1f
Model has 1899 quadratic objective terms
Variable types: 0 continuous, 63 integer (63 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [8e+00, 6e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [0e+00, 0e+00]
Variable types: 0 continuous, 63 integer (63 binary)

Root relaxation: objective 3.208201e+03, 74 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 12964470 9947011 1454.26958   38   32  969.00000 1899.00000  96.0%   2.9  150s
 13392150 10273388 1899.00000   28   43  969.00000 1899.00000  96.0%   2.9  155s
 13936014 10678510 1320.21266   41   30  969.00000 1899.00000  96.0%   2.9  160s
 14519753 11089186 1773.17794   32   39  969.00000 1899.00000  96.0%   2.9  165s
 15076723 11503890 1826.99044   31   40  969.00000 1899.00000  96.0%   2.9  170s
 15612368 11920358 1447.75289   38   26  969.00000 1899.00000  96.0%   2.9  175s
 16088181 12282873 1825.60964   31   37  969.00000 1899.00000  96.0%   2.9  180s
 16586643 12660603 1663.59687   34   33  969.00000 1899.00000  96.0%   2.9  185s
 17069012 13015459 1612.72104   35   35  969.00000 1899.00000  96.0%   2.9  190s
 17508875 13355404 1879.87200   30   38  969.00000 1899.00000  96.0%   2.8  195s
 17945835 13686378 1880.72324   30   37  969.00000 1899.00000  96.0%   2.8  200s
 18337365 13992261 1071.45012   50   20  969.00000 1899.00000  96.0%   2.8  205s
 18794595 14325296  983.22304   58   13  969.00000 1899.00000  96.0%   2.8  210s
 19262457 14666647 1899.00000   29   40  969.00000 1899.00000  96.0%   2.9  215s
 19691399 14992436 1667.53000   34   36  969.00000 1899.00000  96.0%   2.9  220s
 20157776 15339967 1361.45224   40   31  969.00000 1899.00000  96.0%   2.9  225s
 20593289 15653787 1881.78000   30   40  969.00000 1899.00000  96.0%   2.9  230s
 20993461 15956617 1774.15500   32   38  969.00000 1899.00000  96.0%   2.9  235s
 21415458 16265865 1899.00000   29   41  969.00000 1899.00000  96.0%   2.9  240s
 21841471 16594459 1023.10365   53   12  969.00000 1899.00000  96.0%   2.9  245s
 22266791 16914652 1881.69149   30   39  969.00000 1899.00000  96.0%   2.9  250s
 22694866 17223663 1184.16068   45   22  969.00000 1899.00000  96.0%   2.9  255s
 23117652 17547070 1899.00000   29   40  969.00000 1899.00000  96.0%   2.9  260s
 23544919 17871180 1109.42317   48   21  969.00000 1899.00000  96.0%   2.9  265s
 23975322 18198281 1719.66818   33   34  969.00000 1899.00000  96.0%   2.9  270s
 24507254 18591738 1405.75419   39   32  969.00000 1899.00000  96.0%   2.9  275s
 25055991 18990084 1665.47878   34   36  969.00000 1899.00000  96.0%   2.9  280s
 25617604 19404151 1320.19167   41   30  969.00000 1899.00000  96.0%   2.9  285s
 26169454 19835477 1880.80294   30   41  969.00000 1899.00000  96.0%   2.9  290s
 26747026 20254728  989.04596   57   14  969.00000 1899.00000  96.0%   2.9  295s
 27307962 20675273 1010.84539   54   11  969.00000 1899.00000  96.0%   2.9  300s
 27876235 21093702 1281.76478   42   28  969.00000 1899.00000  96.0%   2.9  305s
 28428926 21518584 1083.12720   49   16  969.00000 1899.00000  96.0%   2.9  310s
 28999219 21941806 1320.21266   41   30  969.00000 1899.00000  96.0%   2.9  315s
 29570688 22365611 1405.77516   39   32  969.00000 1899.00000  96.0%   2.9  320s
 30101485 22759119 1313.03676   41   23  969.00000 1899.00000  96.0%   2.9  325s
 30534168 23088444 1899.00000   29   38  969.00000 1899.00000  96.0%   2.9  330s
 31015999 23441765 1552.40872   36   28  969.00000 1899.00000  96.0%   2.9  335s
 31492867 23794930 1320.21266   41   30  969.00000 1899.00000  96.0%   2.9  340s
 32015807 24191807 1665.55294   34   37  969.00000 1899.00000  96.0%   2.9  345s
 32514682 24553556 1449.70376   38   28  969.00000 1899.00000  96.0%   2.9  350s
 32995728 24928186 1451.32864   38   29  969.00000 1899.00000  96.0%   2.9  355s
 33477278 25293836 1088.94326   49   21  969.00000 1899.00000  96.0%   2.9  360s
 33936043 25635299 1044.96629   51   14  969.00000 1899.00000  96.0%   2.9  365s
 34372152 25959693 1184.63382   45   23  969.00000 1899.00000  96.0%   2.9  370s
 34907434 26369471 1156.37585   46   25  969.00000 1899.00000  96.0%   2.9  375s
 35411034 26754858 1880.72890   30   40  969.00000 1899.00000  96.0%   2.8  380s
 35905096 27128901 1322.98169   41   27  969.00000 1899.00000  96.0%   2.8  385s
 36307285 27448379 1027.15921   53   15  969.00000 1899.00000  96.0%   2.9  390s
 36746498 27760344 1667.53000   34   36  969.00000 1899.00000  96.0%   2.9  395s
 37181507 28083049 1453.03299   38   28  969.00000 1899.00000  96.0%   2.9  400s
 37629926 28416947 1612.14670   35   31  969.00000 1899.00000  96.0%   2.9  405s
 38138204 28813705 1773.17794   32   39  969.00000 1899.00000  96.0%   2.9  410s
 38688063 29229697 1448.75289   38   26  969.00000 1899.00000  96.0%   2.9  415s
 39155214 29569869 1882.38388   30   38  969.00000 1899.00000  96.0%   2.9  420s
 39581358 29892227 1247.51965   43   27  969.00000 1899.00000  96.0%   2.9  425s
 39972462 30184925 1720.34604   33   37  969.00000 1899.00000  96.0%   2.9  430s
 40381507 30481858 1109.51262   48   22  969.00000 1899.00000  96.0%   2.9  435s
 40794596 30785010 1406.75576   39   31  969.00000 1899.00000  96.0%   2.9  440s
 41176259 31080135 1881.78000   30   40  969.00000 1899.00000  96.0%   2.9  445s
 41596440 31385151 1005.36686   55   15  969.00000 1899.00000  96.0%   2.9  450s
 42016983 31690942 1558.81626   36   33  969.00000 1899.00000  96.0%   2.9  455s
 42436435 32008912 1214.45958   44   24  969.00000 1899.00000  96.0%   2.9  460s
 42863414 32318338 1612.69269   35   34  969.00000 1899.00000  96.0%   2.9  465s
 43282383 32623512 1881.69149   30   39  969.00000 1899.00000  96.0%   2.9  470s
 43692189 32930773 1720.34604   33   37  969.00000 1899.00000  96.0%   2.9  475s
 44120664 33248991 1612.65618   35   34  969.00000 1899.00000  96.0%   2.9  480s
 44538148 33564207 1447.75289   38   26  969.00000 1899.00000  96.0%   2.9  485s
 44973576 33896492 1720.34604   33   37  969.00000 1899.00000  96.0%   2.9  490s
 45423084 34218384  975.60061   60    9  969.00000 1899.00000  96.0%   2.9  495s
 45854864 34540157 1247.30778   43   25  969.00000 1899.00000  96.0%   2.9  500s
 46291366 34872877 1358.38255   40   26  969.00000 1899.00000  96.0%   2.9  505s
 46724651 35193797 1362.42930   40   30  969.00000 1899.00000  96.0%   2.9  510s
 47161059 35521412 1440.88187   38   25  969.00000 1899.00000  96.0%   2.9  515s
 47627086 35859985 1054.93631   51   19  969.00000 1899.00000  96.0%   2.9  520s
 48060902 36204678 1558.90500   36   34  969.00000 1899.00000  96.0%   2.9  525s
 48508620 36535855 1827.76053   31   38  969.00000 1899.00000  96.0%   2.9  530s
 48961247 36864828 1881.38388   30   38  969.00000 1899.00000  96.0%   2.9  535s
 49405347 37185038 1827.76053   31   38  969.00000 1899.00000  96.0%   2.9  540s
 49884264 37540164 1319.86472   41   28  969.00000 1899.00000  96.0%   2.9  545s
 50440956 37966702 1557.92794   36   35  969.00000 1899.00000  96.0%   2.9  550s
 50984371 38377606 1183.79087   45   25  969.00000 1899.00000  96.0%   2.9  555s
 51558085 38793259 1183.86543   45   26  969.00000 1899.00000  96.0%   2.9  560s
 52126690 39216524 1611.74044   35   36  969.00000 1899.00000  96.0%   2.9  565s
 52694198 39626124 1361.45224   40   31  969.00000 1899.00000  96.0%   2.9  570s
 53267311 40054228  971.80982   61   10  969.00000 1899.00000  96.0%   2.9  575s
 53848597 40482165 1038.29945   52   19  969.00000 1899.00000  96.0%   2.9  580s
 54415174 40902278 1281.94529   42   29  969.00000 1899.00000  96.0%   2.9  585s
 54965161 41329165 1004.38625   55   16  969.00000 1899.00000  96.0%   2.9  590s
 55486542 41738408  983.22304   58   13  969.00000 1899.00000  96.0%   2.9  595s
 56052364 42169632 1131.30293   47   24  969.00000 1899.00000  96.0%   2.9  600s
 56607897 42608087 1320.21266   41   30  969.00000 1899.00000  96.0%   2.9  605s
 57174486 43027786 1183.84442   45   26  969.00000 1899.00000  96.0%   2.9  610s
 57743216 43450107  971.80982   61   10  969.00000 1899.00000  96.0%   2.9  615s
 58297908 43892716 1278.83254   42   23  969.00000 1899.00000  96.0%   2.9  620s
 58835906 44276127 1450.20376   38   27  969.00000 1899.00000  96.0%   2.9  625s
 59344478 44657943 1772.99832   32   38  969.00000 1899.00000  96.0%   2.9  630s
 59841805 45027025 1281.34484   42   25  969.00000 1899.00000  96.0%   2.9  635s
 60351513 45399254 1025.39320   53   18  969.00000 1899.00000  96.0%   2.9  640s
 60839057 45765670  982.23401   58   10  969.00000 1899.00000  96.0%   2.9  645s
 61362509 46149911  995.98758   56   14  969.00000 1899.00000  96.0%   2.8  650s
 61877757 46525122 1826.39683   31   38  969.00000 1899.00000  96.0%   2.8  655s
 62383624 46897102 1664.61912   34   34  969.00000 1899.00000  96.0%   2.8  660s
 62913527 47286881 1238.82254   43   22  969.00000 1899.00000  96.0%   2.8  665s
 63411956 47657916 1557.90698   36   35  969.00000 1899.00000  96.0%   2.8  670s
 63913537 48008508 1502.04023   37   29  969.00000 1899.00000  96.0%   2.8  675s
 64357534 48344547 1362.42930   40   30  969.00000 1899.00000  96.0%   2.8  680s
 64814253 48675306 1208.25967   44   20  969.00000 1899.00000  96.0%   2.8  685s
 65298321 49033606 1272.39832   42   23  969.00000 1899.00000  96.0%   2.8  690s
 65768269 49396240 1001.56074   55   11  969.00000 1899.00000  96.0%   2.8  695s
 66267458 49758967 1156.30123   46   24  969.00000 1899.00000  96.0%   2.8  700s
 66745904 50110496  969.10869   64    6  969.00000 1899.00000  96.0%   2.8  705s
 67200226 50448326 1609.06623   35   31  969.00000 1899.00000  96.0%   2.8  710s
 67677205 50797739 1403.08838   39   27  969.00000 1899.00000  96.0%   2.8  715s
 68131429 51132112 1408.72739   39   30  969.00000 1899.00000  96.0%   2.8  720s
 68554187 51448281 1406.54444   39   29  969.00000 1899.00000  96.0%   2.8  725s
 69012755 51770308 1714.70269   33   32  969.00000 1899.00000  96.0%   2.8  730s
 69465176 52126032 1720.66818   33   34  969.00000 1899.00000  96.0%   2.8  735s
 69924562 52450286 1184.84604   45   25  969.00000 1899.00000  96.0%   2.8  740s
 70383889 52780530 1454.26958   38   32  969.00000 1899.00000  96.0%   2.8  745s
 70883528 53134161 1361.43126   40   31  969.00000 1894.49422  95.5%   2.8  750s
 71446341 53548461  971.78839   61   10  969.00000 1894.49422  95.5%   2.8  755s
 71975953 53937832  975.69310   60   10  969.00000 1888.43342  94.9%   2.8  760s
 72391763 54236352 1070.45012   50   20  969.00000 1888.43342  94.9%   2.8  765s
 72868217 54578120 1722.34604   33   37  969.00000 1883.78000  94.4%   2.8  770s
 73305768 54938812 1775.15500   32   38  969.00000 1882.78000  94.3%   2.8  775s
 73738596 55251407 1667.53000   34   36  969.00000 1882.76585  94.3%   2.8  780s
 74194818 55597691 1667.44133   34   35  969.00000 1882.69149  94.3%   2.8  785s
 74653711 55927910 1407.75576   39   31  969.00000 1882.69149  94.3%   2.8  790s
 75114307 56258156 1667.44133   34   35  969.00000 1882.69149  94.3%   2.8  795s
 75574446 56590952 1828.76053   31   38  969.00000 1882.40014  94.3%   2.8  800s
 76033981 56926093 1363.42930   40   30  969.00000 1882.40014  94.3%   2.8  805s
 76507491 57290339  996.04215   56   15  969.00000 1882.13864  94.2%   2.8  810s
 77040918 57703031 1281.94529   42   29  969.00000 1882.13864  94.2%   2.8  815s
 77494433 58028987 1827.97104   31   39  969.00000 1881.78000  94.2%   2.8  820s
 77914602 58328817 1827.97104   31   39  969.00000 1881.78000  94.2%   2.8  825s
 78334683 58636284 1504.88494   37   31  969.00000 1881.78000  94.2%   2.8  830s
 78752486 58937179 1282.92235   42   28  969.00000 1881.78000  94.2%   2.8  835s
 79180770 59239563  975.69310   60   10  969.00000 1881.78000  94.2%   2.8  840s
 79595798 59543339 1666.53000   34   36  969.00000 1881.78000  94.2%   2.8  845s
 80014444 59845157 1005.36686   55   15  969.00000 1881.78000  94.2%   2.8  850s
 80452906 60154480 1406.75576   39   31  969.00000 1881.78000  94.2%   2.9  855s
 80888076 60465710 1086.71969   49   16  969.00000 1881.76585  94.2%   2.9  860s
 81304278 60775249 1720.28123   33   36  969.00000 1881.76585  94.2%   2.9  865s
 81724557 61088962 1362.42930   40   30  969.00000 1881.76585  94.2%   2.9  870s
 82160398 61406252 1279.86136   42   24  969.00000 1881.72324  94.2%   2.9  875s
 82619469 61752038 1665.30368   34   32  969.00000 1881.72324  94.2%   2.9  880s
 83091064 62092382 1132.28354   47   23  969.00000 1881.69149  94.2%   2.9  885s
 83526515 62413347 1358.38255   40   26  969.00000 1881.69149  94.2%   2.9  890s
 83958257 62723159 1088.94326   49   21  969.00000 1881.69149  94.2%   2.9  895s
 84411859 63041136 1321.19326   41   29  969.00000 1881.69149  94.2%   2.9  900s
 84862610 63361786 1773.75837   32   36  969.00000 1881.69149  94.2%   2.9  905s
 85314053 63683226 1320.98169   41   27  969.00000 1881.69149  94.2%   2.9  910s
 85761001 64012450 1156.95166   46   22  969.00000 1881.69149  94.2%   2.9  915s
 86202707 64351044  975.69310   60   10  969.00000 1881.69149  94.2%   2.9  920s
 86660034 64682279 1214.45958   44   24  969.00000 1881.69149  94.2%   2.9  925s
 87108357 64997818 1827.64397   31   37  969.00000 1881.61865  94.2%   2.9  930s
 87557793 65330859 1358.35240   40   25  969.00000 1881.60414  94.2%   2.9  935s
 88028633 65680426 1109.51262   48   22  969.00000 1881.40014  94.2%   2.9  940s
 88487260 66015348 1720.31770   33   36  969.00000 1881.40014  94.2%   2.9  945s
 88946662 66342822 1666.53000   34   36  969.00000 1881.40014  94.2%   2.9  950s
 89403100 66675966 1036.96296   52   14  969.00000 1881.40014  94.2%   2.9  955s
 89862345 67006902 1452.03299   38   28  969.00000 1881.40014  94.2%   2.9  960s
 90330912 67344107 1157.35290   46   24  969.00000 1881.40014  94.2%   2.9  965s
 90782678 67672366 1214.45958   44   24  969.00000 1881.40014  94.2%   2.9  970s
 91267046 68031585  974.69473   60   11  969.00000 1880.80294  94.1%   2.9  975s
 91828485 68434778  983.22304   58   13  969.00000 1880.80294  94.1%   2.9  980s
 92380708 68847613 1069.47306   50   21  969.00000 1880.80294  94.1%   2.9  985s
 92926329 69265792 1361.45224   40   31  969.00000 1880.80294  94.1%   2.9  990s
 93479736 69683010 1246.53904   43   28  969.00000 1880.80294  94.1%   2.9  995s
 94030148 70088374 1504.11544   37   34  969.00000 1880.80294  94.1%   2.9 1000s
 94585918 70500584 1504.11544   37   34  969.00000 1880.80294  94.1%   2.9 1005s
 95137800 70928610 1405.77516   39   32  969.00000 1880.80294  94.1%   2.9 1010s
 95694555 71343744 1773.17794   32   39  969.00000 1880.80294  94.1%   2.9 1015s
 96245766 71757810 1156.37585   46   25  969.00000 1880.80294  94.1%   2.9 1020s
 96802063 72166770 1183.86543   45   26  969.00000 1880.80294  94.1%   2.9 1025s
 97371059 72574778 1665.55294   34   37  969.00000 1880.80294  94.1%   2.9 1030s
 97934256 72994625 1246.53904   43   28  969.00000 1880.80294  94.1%   2.9 1035s
 98500514 73418453 1087.96265   49   22  969.00000 1880.80294  94.1%   2.9 1040s
 99060984 73838445 1719.36544   33   38  969.00000 1880.80294  94.1%   2.9 1045s
 99631515 74240937 1013.51122   54   13  969.00000 1880.80294  94.1%   2.9 1050s
 100196384 74656719 1826.99044   31   40  969.00000 1880.80294  94.1%   2.9 1055s
 100749081 75076397 1611.74044   35   36  969.00000 1880.80294  94.1%   2.9 1060s
 101313553 75487619 1156.37585   46   25  969.00000 1880.80294  94.1%   2.9 1065s
 101878271 75881843 1087.96265   49   22  969.00000 1880.78201  94.1%   2.9 1070s
 102455744 76299469 1453.29252   38   33  969.00000 1880.78201  94.1%   2.9 1075s
 103026056 76708050 1361.45224   40   31  969.00000 1880.78201  94.1%   2.9 1080s
 103585325 77124385  971.73217   61    9  969.00000 1880.78201  94.1%   2.9 1085s
 104134312 77548609 1665.37316   34   36  969.00000 1880.78201  94.1%   2.9 1090s
 104694713 77980973 1014.05045   54   16  969.00000 1880.78201  94.1%   2.9 1095s
 105243032 78389634 1826.91637   31   39  969.00000 1880.78201  94.1%   2.9 1100s
 105815695 78817571 1361.45224   40   31  969.00000 1880.78201  94.1%   2.9 1105s
 106370251 79237661 1320.03225   41   29  969.00000 1880.74014  94.1%   2.9 1110s
 106937888 79652914 1108.51453   48   23  969.00000 1880.74014  94.1%   2.9 1115s
 107503506 80075441 1131.30293   47   24  969.00000 1880.74014  94.1%   2.9 1120s
 108080874 80492658 1405.77516   39   32  969.00000 1880.74014  94.1%   2.9 1125s
 108653357 80916553 1665.55294   34   37  969.00000 1880.74014  94.1%   2.8 1130s
 109212837 81343756  969.65356   62    9  969.00000 1880.74014  94.1%   2.8 1135s
 109783916 81777285  989.04596   57   14  969.00000 1880.74014  94.1%   2.8 1140s
 110350663 82197854 1665.55294   34   37  969.00000 1880.74014  94.1%   2.8 1145s
 110935843 82628204 1361.37790   40   30  969.00000 1880.74014  94.1%   2.8 1150s
 111497413 83053323 1504.11544   37   34  969.00000 1880.74014  94.1%   2.8 1155s
 112081446 83477792 1281.87088   42   28  969.00000 1880.74014  94.1%   2.8 1160s
 112658696 83893213 1038.29945   52   19  969.00000 1880.72890  94.1%   2.8 1165s
 113221455 84324953 1665.47878   34   36  969.00000 1880.72890  94.1%   2.8 1170s
 113780668 84742738 1504.11544   37   34  969.00000 1880.72890  94.1%   2.8 1175s
 114261044 85104241 1406.75576   39   31  969.00000 1880.72324  94.1%   2.8 1180s
 114730973 85443635 1028.79102   52   11  969.00000 1880.72324  94.1%   2.8 1185s
 115199143 85783826 1505.09604   37   33  969.00000 1880.72324  94.1%   2.8 1190s
 115677987 86124261 1880.72324   30   37  969.00000 1880.72324  94.1%   2.8 1195s
 116135970 86469684 1719.29131   33   37  969.00000 1880.62348  94.1%   2.8 1200s
 116662234 86853921 1401.56996   39   25  969.00000 1880.62348  94.1%   2.8 1205s
 117177984 87221608 1665.37316   34   36  969.00000 1880.62348  94.1%   2.8 1210s
 117681519 87586679 1403.58838   39   26  969.00000 1880.62348  94.1%   2.8 1215s
 118193892 87954412 1718.40566   33   33  969.00000 1880.62348  94.1%   2.8 1220s
 118656932 88306506 1720.66818   33   34  969.00000 1880.56369  94.1%   2.8 1225s
 119114030 88655510 1559.50736   36   32  969.00000 1880.56369  94.1%   2.8 1230s
 119610498 89018029 1087.96265   49   22  969.00000 1880.46536  94.1%   2.8 1235s
 120111353 89380012 1502.72748   37   31  969.00000 1880.46536  94.1%   2.8 1240s
 120627347 89756803 1150.21360   46   19  969.00000 1880.46536  94.1%   2.8 1245s
 121154090 90129247 1243.83565   43   23  969.00000 1880.46536  94.1%   2.8 1250s
 121668411 90521911 1772.83194   32   37  969.00000 1880.46536  94.1%   2.8 1255s
 122190101 90911017 1719.18574   33   37  969.00000 1880.46536  94.1%   2.8 1260s
 122695553 91288707 1212.94000   44   24  969.00000 1880.46536  94.1%   2.8 1265s
 123203096 91669845 1044.96629   51   14  969.00000 1880.46536  94.1%   2.8 1270s
 123724871 92038290 1880.45734   30   39  969.00000 1880.45734  94.1%   2.8 1275s
 124226025 92405268 1002.06074   55   10  969.00000 1880.20972  94.0%   2.8 1280s
 124712746 92768597 1183.51621   45   24  969.00000 1880.20972  94.0%   2.8 1285s
 125219765 93139755 1496.50379   37   28  969.00000 1879.87955  94.0%   2.8 1290s
 125736858 93511391  969.46168   62    8  969.00000 1879.87955  94.0%   2.8 1295s
 126237213 93878447  973.70483   60    8  969.00000 1879.87955  94.0%   2.8 1300s
 126740927 94236316  996.06333   56   15  969.00000 1879.87955  94.0%   2.8 1305s
 127238333 94608372 1717.20365   33   32  969.00000 1879.78686  94.0%   2.8 1310s
 127716393 94947290  989.96351   56    8  969.00000 1879.56369  94.0%   2.8 1315s
 128185090 95284281 1247.49124   43   26  969.00000 1879.56369  94.0%   2.8 1320s
 128663135 95636822 1826.03241   31   35  969.00000 1879.33966  93.9%   2.8 1325s
 129170531 96009779 1663.59687   34   33  969.00000 1878.86249  93.9%   2.8 1330s
 129679727 96376628 1825.93749   31   35  969.00000 1878.78686  93.9%   2.8 1335s
 130165602 96731731 1247.51965   43   27  969.00000 1877.78686  93.8%   2.8 1340s
 130558127 97026850 1558.84269   36   31  969.00000 1876.36001  93.6%   2.8 1345s
 130905025 97292030 1283.92235   42   28  969.00000 1854.23415  91.4%   2.8 1350s
 131267884 97553776 1558.90500   36   34  969.00000 1853.23415  91.3%   2.8 1355s
 131625868 97818280 1665.37316   34   36  969.00000 1841.57195  90.0%   2.8 1360s
 131982211 98081853  978.46216   59   12  969.00000 1840.69223  90.0%   2.8 1365s
 132220145 98250864 1246.53904   43   28  969.00000 1840.69223  90.0%   2.8 1371s
