root_relax = 1894.0
opt = false
obj_val = 1846.88
solved_time = 2049.1964
explored_nodes = 116456758
LogFile to value "./res/Gurobi/QP/bcc24601.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 20:53:47 2025

Set parameter LogFile to value "./res/Gurobi/QP/bcc24601.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 0 rows, 63 columns and 0 nonzeros
Model fingerprint: 0x0c598420
Model has 1894 quadratic objective terms
Variable types: 0 continuous, 63 integer (63 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+00, 6e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [0e+00, 0e+00]
Variable types: 0 continuous, 63 integer (63 binary)

Root relaxation: objective 2.938847e+03, 75 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 13532798 11646172 1648.94097   34   37  964.00000 1894.00000  96.5%   2.9  160s
 14043290 12078944 1847.27431   30   41  964.00000 1894.00000  96.5%   2.8  165s
 14584029 12524303 1698.51383   33   38  964.00000 1894.00000  96.5%   2.8  170s
 15083202 12939219  964.46181   64    7  964.00000 1894.00000  96.5%   2.8  175s
 15602049 13366844 1746.44924   32   34  964.00000 1894.00000  96.5%   2.8  180s
 16097297 13784244 1548.10868   36   30  964.00000 1894.00000  96.5%   2.8  185s
 16532492 14159081 1176.72218   45   20  964.00000 1894.00000  96.5%   2.8  190s
 16961383 14527460 1207.87976   44   22  964.00000 1894.00000  96.5%   2.8  195s
 17382775 14892095 1451.26958   38   32  964.00000 1894.00000  96.5%   2.8  200s
 17813873 15261449 1699.18979   33   37  964.00000 1894.00000  96.5%   2.8  205s
 18331872 15697042 1358.76736   40   31  964.00000 1894.00000  96.5%   2.8  210s
 18898935 16167249 1748.10764   32   39  964.00000 1894.00000  96.5%   2.8  215s
 19447752 16630264  973.14978   59    7  964.00000 1894.00000  96.5%   2.8  220s
 19920918 17028500 1359.42930   40   30  964.00000 1894.00000  96.5%   2.8  225s
 20349713 17391878 1748.76959   32   38  964.00000 1894.00000  96.5%   2.8  230s
 20756660 17739559 1649.44129   34   35  964.00000 1894.00000  96.5%   2.8  235s
 21177898 18100014 1748.75543   32   38  964.00000 1894.00000  96.5%   2.8  240s
 21608124 18472810 1129.25508   47   22  964.00000 1894.00000  96.5%   2.8  245s
 22027344 18831387 1798.14600   31   38  964.00000 1894.00000  96.5%   2.8  250s
 22478835 19212828 1128.59610   47   20  964.00000 1894.00000  96.5%   2.8  255s
 22926557 19592192 1894.00000   29   40  964.00000 1894.00000  96.5%   2.8  260s
 23363974 19968562 1647.39405   34   33  964.00000 1894.00000  96.5%   2.8  265s
 23776227 20331951 1847.92210   30   40  964.00000 1894.00000  96.5%   2.8  270s
 24209459 20704493 1500.85646   37   33  964.00000 1894.00000  96.5%   2.8  275s
 24658652 21089467 1649.60292   34   36  964.00000 1894.00000  96.5%   2.8  280s
 25097650 21468679 1649.02930   34   33  964.00000 1894.00000  96.5%   2.9  285s
 25608629 21904202  975.78819   59   13  964.00000 1894.00000  96.5%   2.8  290s
 26152583 22365753  971.98617   60   10  964.00000 1894.00000  96.5%   2.8  295s
 26715946 22832002 1797.68050   31   40  964.00000 1894.00000  96.5%   2.8  300s
 27225965 23268736 1178.77636   45   21  964.00000 1894.00000  96.5%   2.8  305s
 27745349 23698977 1894.00000   29   42  964.00000 1894.00000  96.5%   2.8  310s
 28261013 24122759 1847.27431   30   41  964.00000 1894.00000  96.5%   2.8  315s
 28779486 24557139 1648.94097   34   37  964.00000 1894.00000  96.5%   2.8  320s
 29270008 24965851 1066.78819   50   21  964.00000 1894.00000  96.5%   2.8  325s
 29769622 25386037 1207.87976   44   22  964.00000 1894.00000  96.5%   2.8  330s
 30278714 25813192 1499.04053   37   31  964.00000 1894.00000  96.5%   2.8  335s
 30740084 26207067 1648.54273   34   33  964.00000 1894.00000  96.5%   2.8  340s
 31202012 26602517 1696.19654   33   34  964.00000 1894.00000  96.5%   2.8  345s
 31692467 27009973 1746.44924   32   34  964.00000 1894.00000  96.5%   2.8  350s
 32177319 27414019 1448.20376   38   27  964.00000 1894.00000  96.5%   2.8  355s
 32622264 27803533 1020.24278   53   14  964.00000 1894.00000  96.5%   2.8  360s
 33094934 28203754 1796.79085   31   36  964.00000 1894.00000  96.5%   2.8  365s
 33578422 28604153 1500.06783   37   33  964.00000 1894.00000  96.5%   2.8  370s
 34093861 29028054 1065.95506   50   15  964.00000 1894.00000  96.5%   2.8  375s
 34507494 29387061 1499.04053   37   31  964.00000 1894.00000  96.5%   2.8  380s
 35034587 29830801 1358.72351   40   30  964.00000 1894.00000  96.5%   2.8  385s
 35563823 30279661 1796.79085   31   36  964.00000 1894.00000  96.5%   2.8  390s
 35981418 30631231 1550.43625   36   34  964.00000 1894.00000  96.5%   2.8  395s
 36389389 30983211 1279.83334   42   27  964.00000 1894.00000  96.5%   2.8  400s
 36790333 31320756 1359.42930   40   30  964.00000 1894.00000  96.5%   2.8  405s
 37195353 31664170 1500.82810   37   32  964.00000 1894.00000  96.5%   2.8  410s
 37621459 32022546 1798.35646   31   39  964.00000 1894.00000  96.5%   2.8  415s
 38025486 32373723 1154.35290   46   24  964.00000 1894.00000  96.5%   2.8  420s
 38447824 32729255 1649.60292   34   36  964.00000 1894.00000  96.5%   2.8  425s
 38874601 33094295 1279.52290   42   26  964.00000 1894.00000  96.5%   2.8  430s
 39304999 33457040 1550.43625   36   34  964.00000 1894.00000  96.5%   2.8  435s
 39727522 33824231 1244.51965   43   27  964.00000 1894.00000  96.5%   2.8  440s
 40142115 34184591  980.06834   58    9  964.00000 1894.00000  96.5%   2.8  445s
 40574052 34554708 1403.54444   39   29  964.00000 1894.00000  96.5%   2.8  450s
 41011533 34929866 1748.37307   32   36  964.00000 1894.00000  96.5%   2.8  455s
 41449609 35303508 1847.93626   30   40  964.00000 1894.00000  96.5%   2.8  460s
 41869818 35671861 1847.77495   30   39  964.00000 1894.00000  96.5%   2.8  465s
 42308741 36047481 1211.85985   44   26  964.00000 1894.00000  96.5%   2.8  470s
 42739447 36417998 1599.69532   35   33  964.00000 1894.00000  96.5%   2.8  475s
 43176139 36795950 1699.18979   33   37  964.00000 1894.00000  96.5%   2.8  480s
 43605766 37181623 1036.27650   52   18  964.00000 1894.00000  96.5%   2.8  485s
 44084920 37583616 1449.05040   38   29  964.00000 1894.00000  96.5%   2.8  490s
 44545882 37978906 1500.85646   37   33  964.00000 1894.00000  96.5%   2.8  495s
 45002178 38380926 1018.07323   53   12  964.00000 1894.00000  96.5%   2.8  500s
 45452339 38761833 1550.43625   36   34  964.00000 1894.00000  96.5%   2.8  505s
 45902429 39149800 1747.71140   32   35  964.00000 1894.00000  96.5%   2.8  510s
 46350460 39541343 1597.02249   35   32  964.00000 1894.00000  96.5%   2.8  515s
 46787279 39925517 1151.22950   46   19  964.00000 1894.00000  96.5%   2.8  520s
 47296757 40358030 1153.69097   46   25  964.00000 1894.00000  96.5%   2.8  525s
 47863945 40828501  967.85388   61    6  964.00000 1894.00000  96.5%   2.8  530s
 48340140 41229379 1847.54028   30   38  964.00000 1894.00000  96.5%   2.8  535s
 48796376 41619435 1550.03863   36   32  964.00000 1894.00000  96.5%   2.8  540s
 49241043 42011813 1029.57629   52   13  964.00000 1894.00000  96.5%   2.8  545s
 49689657 42393484 1548.22224   36   31  964.00000 1894.00000  96.5%   2.8  550s
 50146241 42782522 1497.84839   37   30  964.00000 1894.00000  96.5%   2.8  555s
 50618961 43181040 1597.02249   35   32  964.00000 1894.00000  96.5%   2.9  560s
 51082820 43578183 1243.84375   43   29  964.00000 1894.00000  96.5%   2.9  565s
 51605873 44013484 1313.11485   41   24  964.00000 1894.00000  96.5%   2.8  570s
 52108335 44446728 1499.04053   37   31  964.00000 1894.00000  96.5%   2.8  575s
 52641852 44882105 1598.20925   35   33  964.00000 1894.00000  96.5%   2.8  580s
 53182398 45328680 1358.76736   40   31  964.00000 1894.00000  96.5%   2.8  585s
 53711202 45770233 1599.34722   35   37  964.00000 1894.00000  96.5%   2.8  590s
 54245916 46202137  966.96875   62    9  964.00000 1894.00000  96.5%   2.8  595s
 54775330 46641819 1317.51729   41   30  964.00000 1894.00000  96.5%   2.8  600s
 55315664 47083516 1401.93773   39   29  964.00000 1894.00000  96.5%   2.8  605s
 55845567 47527984 1241.46065   43   23  964.00000 1894.00000  96.5%   2.8  610s
 56379971 47967535 1598.20925   35   33  964.00000 1894.00000  96.5%   2.8  615s
 56911378 48401000 1647.27898   34   32  964.00000 1894.00000  96.5%   2.8  620s
 57433193 48836148 1449.85208   38   30  964.00000 1894.00000  96.5%   2.8  625s
 57954851 49262506 1242.69640   43   25  964.00000 1894.00000  96.5%   2.8  630s
 58500491 49702450 1500.18049   37   34  964.00000 1894.00000  96.5%   2.8  635s
 59019967 50131364 1102.49185   48   18  964.00000 1894.00000  96.5%   2.8  640s
 59517992 50548979 1050.93631   51   19  964.00000 1894.00000  96.5%   2.8  645s
 60015310 50959991 1797.22913   31   38  964.00000 1894.00000  96.5%   2.8  650s
 60490678 51362117 1001.69097   55   17  964.00000 1894.00000  96.5%   2.8  655s
 60990336 51763248  978.73974   58    8  964.00000 1894.00000  96.5%   2.8  660s
 61468220 52166461 1746.44924   32   34  964.00000 1894.00000  96.5%   2.8  665s
 61942531 52563723 1797.22913   31   38  964.00000 1894.00000  96.5%   2.8  670s
 62435515 52962558 1102.49185   48   18  964.00000 1894.00000  96.5%   2.8  675s
 62911193 53363196 1060.82766   50   15  964.00000 1894.00000  96.5%   2.8  680s
 63387674 53768030 1353.01411   40   25  964.00000 1894.00000  96.5%   2.8  685s
 63825137 54139658 1798.32814   31   38  964.00000 1894.00000  96.5%   2.8  690s
 64253425 54501257 1022.39796   53   13  964.00000 1894.00000  96.5%   2.8  695s
 64729878 54895443 1844.03567   30   37  964.00000 1892.56179  96.3%   2.8  700s
 65193081 55293009 1049.31919   51   16  964.00000 1888.89105  95.9%   2.8  705s
 65654164 55686267 1080.75220   49   16  964.00000 1888.89105  95.9%   2.8  710s
 66111017 56077989 1450.20535   38   29  964.00000 1876.33220  94.6%   2.8  715s
 66550168 56459621 1211.85985   44   26  964.00000 1854.06155  92.3%   2.8  720s
 66968070 56809593 1649.60292   34   36  964.00000 1854.06155  92.3%   2.8  725s
 67367378 57158139 1085.94326   49   21  964.00000 1853.41224  92.3%   2.8  730s
 67806067 57528432 1498.69575   37   28  964.00000 1852.45972  92.2%   2.8  735s
 68329974 57966217 1698.51389   33   39  964.00000 1849.51768  91.9%   2.8  740s
 68874143 58423817 1599.34722   35   37  964.00000 1849.51768  91.9%   2.8  745s
 69434758 58882877 1317.51736   41   31  964.00000 1849.51768  91.9%   2.8  750s
 69980250 59337092 1082.84469   49   17  964.00000 1849.51768  91.9%   2.8  755s
 70533485 59804593 1243.84367   43   28  964.00000 1849.51768  91.9%   2.8  760s
 71087715 60270392 1176.72218   45   20  964.00000 1849.51768  91.9%   2.8  765s
 71662908 60742689  965.44097   63    9  964.00000 1849.51768  91.9%   2.8  770s
 72222173 61203395 1402.96702   39   31  964.00000 1849.51768  91.9%   2.8  775s
 72764416 61653141 1317.51736   41   31  964.00000 1849.51768  91.9%   2.8  780s
 73311677 62103897 1243.84375   43   29  964.00000 1849.51768  91.9%   2.8  785s
 73871754 62566300 1797.68056   31   41  964.00000 1849.51768  91.9%   2.8  790s
 74390174 63003068 1012.10288   54   16  964.00000 1847.93626  91.7%   2.8  795s
 74825914 63382614 1032.19185   52   14  964.00000 1847.93626  91.7%   2.8  800s
 75278634 63767522 1798.35646   31   39  964.00000 1847.93626  91.7%   2.8  805s
 75684928 64126819 1128.95231   47   21  964.00000 1847.93626  91.7%   2.8  810s
 76103142 64487274 1649.51426   34   35  964.00000 1847.93626  91.7%   2.8  815s
 76547111 64866056 1318.12823   41   28  964.00000 1847.93626  91.7%   2.8  820s
 76971403 65235645 1699.16146   33   36  964.00000 1847.93626  91.7%   2.8  825s
 77378802 65585718 1649.60292   34   36  964.00000 1847.93626  91.7%   2.8  830s
 77803162 65943004 1181.84604   45   25  964.00000 1847.93626  91.7%   2.8  835s
 78211874 66294184 1181.84604   45   25  964.00000 1847.93626  91.7%   2.8  840s
 78636018 66662258 1500.82810   37   32  964.00000 1847.93626  91.7%   2.8  845s
 79060176 67021052 1550.43625   36   34  964.00000 1847.93626  91.7%   2.8  850s
 79482962 67378296 1129.28354   47   23  964.00000 1847.93626  91.7%   2.8  855s
 79889693 67724246 1798.35646   31   39  964.00000 1847.93626  91.7%   2.8  860s
 80298322 68071522 1451.18076   38   31  964.00000 1847.93626  91.7%   2.8  865s
 80740332 68447434 1002.36686   55   15  964.00000 1847.92210  91.7%   2.8  870s
 81144786 68797354 1451.26958   38   32  964.00000 1847.92210  91.7%   2.8  875s
 81568422 69159986 1035.68878   52   15  964.00000 1847.92210  91.7%   2.8  880s
 81999695 69524157 1105.93028   48   19  964.00000 1847.92210  91.7%   2.8  885s
 82440651 69904423 1085.94326   49   21  964.00000 1847.92210  91.7%   2.8  890s
 82887838 70289087  972.67866   60   10  964.00000 1847.92210  91.7%   2.8  895s
 83322676 70670159 1699.18979   33   37  964.00000 1847.92210  91.7%   2.8  900s
 83763137 71052664 1699.18979   33   37  964.00000 1847.92210  91.7%   2.8  905s
 84215869 71436244 1798.32814   31   38  964.00000 1847.84776  91.7%   2.8  910s
 84689965 71829886 1154.26363   46   23  964.00000 1847.84776  91.7%   2.8  915s
 85137556 72207195 1748.76959   32   38  964.00000 1847.84776  91.7%   2.8  920s
 85589305 72597441 1500.85646   37   33  964.00000 1847.84776  91.7%   2.8  925s
 86029986 72979608 1798.32814   31   38  964.00000 1847.84776  91.7%   2.8  930s
 86499022 73371074 1211.77072   44   25  964.00000 1847.84776  91.7%   2.8  935s
 86947348 73754403 1649.60292   34   36  964.00000 1847.84776  91.7%   2.8  940s
 87402376 74147128 1403.75576   39   31  964.00000 1847.84776  91.7%   2.8  945s
 87861157 74532961 1279.92235   42   28  964.00000 1847.84776  91.7%   2.8  950s
 88328449 74928480 1550.43625   36   34  964.00000 1847.84776  91.7%   2.8  955s
 88798118 75323192 1699.18979   33   37  964.00000 1847.84776  91.7%   2.8  960s
 89255767 75711350 1550.43625   36   34  964.00000 1847.84776  91.7%   2.8  965s
 89718319 76104972 1798.29171   31   38  964.00000 1847.77495  91.7%   2.8  970s
 90168673 76493945 1359.42930   40   30  964.00000 1847.77495  91.7%   2.8  975s
 90638680 76888287 1550.43625   36   34  964.00000 1847.77495  91.7%   2.8  980s
 91105961 77283644 1798.29171   31   38  964.00000 1847.77495  91.7%   2.8  985s
 91564478 77677215 1316.61053   41   26  964.00000 1847.55651  91.7%   2.8  990s
 92026810 78073549 1278.85338   42   25  964.00000 1847.55651  91.7%   2.8  995s
 92497522 78477521  976.46408   59   11  964.00000 1847.55651  91.7%   2.8 1000s
 92960511 78871736 1548.22224   36   31  964.00000 1847.55651  91.7%   2.8 1005s
 93417814 79264833 1748.37307   32   36  964.00000 1847.55651  91.7%   2.8 1010s
 93877824 79653816 1402.17691   39   28  964.00000 1847.55651  91.7%   2.8 1015s
 94336827 80045463 1798.14600   31   38  964.00000 1847.55651  91.7%   2.8 1020s
 94773835 80427601 1205.38467   44   21  964.00000 1847.55651  91.7%   2.8 1025s
 95174958 80761376 1597.02249   35   32  964.00000 1847.55651  91.7%   2.8 1030s
 95619627 81140097 1748.60812   32   37  964.00000 1847.36568  91.6%   2.8 1035s
 96078559 81532300 1237.32254   43   21  964.00000 1847.36568  91.6%   2.8 1040s
 96594756 81967227 1105.59217   48   21  964.00000 1847.27431  91.6%   2.8 1045s
 97158307 82424914 1011.44097   54   17  964.00000 1847.27431  91.6%   2.8 1050s
 97721287 82883662 1403.07979   39   32  964.00000 1847.27431  91.6%   2.8 1055s
 98285594 83342137 1128.60754   47   24  964.00000 1847.27431  91.6%   2.8 1060s
 98856388 83805468  970.17285   60    6  964.00000 1847.23245  91.6%   2.8 1065s
 99421431 84271122 1011.44097   54   17  964.00000 1847.23245  91.6%   2.8 1070s
 99972572 84723236 1153.64700   46   24  964.00000 1847.23245  91.6%   2.8 1075s
 100531347 85189835 1153.69097   46   25  964.00000 1847.23245  91.6%   2.8 1080s
 101090529 85653977 1450.60764   38   33  964.00000 1847.23245  91.6%   2.8 1085s
 101666238 86125274 1001.57589   55   15  964.00000 1847.23245  91.6%   2.8 1090s
 102208416 86581768 1150.35450   46   20  964.00000 1847.23245  91.6%   2.8 1095s
 102736842 87024968 1549.77431   36   35  964.00000 1847.23245  91.6%   2.8 1100s
 103284529 87476495 1243.84375   43   29  964.00000 1847.23245  91.6%   2.8 1105s
 103820161 87920355 1022.58339   53   17  964.00000 1847.23245  91.6%   2.8 1110s
 104360180 88359689 1273.47970   42   23  964.00000 1847.23245  91.6%   2.8 1115s
 104909377 88803002 1797.68050   31   40  964.00000 1847.23245  91.6%   2.8 1120s
 105445934 89243092 1698.40139   33   37  964.00000 1847.23245  91.6%   2.8 1125s
 105996025 89695432  965.44054   63    8  964.00000 1847.23245  91.6%   2.8 1130s
 106535658 90139132 1403.07986   39   33  964.00000 1847.23245  91.6%   2.8 1135s
 107064655 90578458 1747.85208   32   37  964.00000 1847.23060  91.6%   2.8 1140s
 107612768 91014693 1797.56817   31   39  964.00000 1847.23060  91.6%   2.8 1145s
 108166857 91475740 1066.74409   50   20  964.00000 1847.23060  91.6%   2.8 1150s
 108742394 91953900 1648.94097   34   37  964.00000 1847.23060  91.6%   2.8 1155s
 109283197 92412805 1648.94097   34   37  964.00000 1847.01983  91.6%   2.8 1160s
 109794739 92834169 1698.51383   33   38  964.00000 1847.01983  91.6%   2.8 1165s
 110312469 93258883  964.46181   64    7  964.00000 1847.01983  91.6%   2.8 1170s
 110813883 93678089 1401.93773   39   29  964.00000 1847.01983  91.6%   2.8 1175s
 111339266 94107675 1499.04053   37   31  964.00000 1847.01983  91.6%   2.8 1180s
 111850983 94541605 1648.94097   34   37  964.00000 1847.01983  91.6%   2.8 1185s
 112390180 94980317  975.78797   59   12  964.00000 1847.01983  91.6%   2.8 1190s
 112913825 95413229 1105.85069   48   23  964.00000 1847.01983  91.6%   2.8 1195s
 113434838 95847259 1450.35125   38   31  964.00000 1847.01983  91.6%   2.8 1200s
 113946767 96275699 1401.93773   39   29  964.00000 1847.01983  91.6%   2.8 1205s
 114436322 96681406 1598.89455   35   34  964.00000 1847.01983  91.6%   2.8 1210s
 114920203 97083383 1395.75879   39   26  964.00000 1847.01903  91.6%   2.8 1215s
 115335195 97425460 1398.69496   39   26  964.00000 1847.01903  91.6%   2.8 1220s
 115702954 97739142 1000.50665   55   13  964.00000 1847.01903  91.6%   2.8 1225s
 116055946 98023837 1549.01991   36   32  964.00000 1847.01903  91.6%   2.8 1230s
 116420538 98331920 1447.32876   38   28  964.00000 1846.88006  91.6%   2.8 1235s
 116445874 98355129 1353.01411   40   25  964.00000 1846.88006  91.6%   2.8 1262s
 116449952 98357046 1450.20535   38   29  964.00000 1846.88006  91.6%   2.8 1482s
 116452268 98358243 1797.67983   31   36  964.00000 1846.88006  91.6%   2.8 1692s
 116453905 98358870 1746.56584   32   35  964.00000 1846.88006  91.6%   2.8 1787s
 116454532 98360998 1499.28100   37   30  964.00000 1846.88006  91.6%   2.8 2034s

Explored 116456758 nodes (327620098 simplex iterations) in 2049.13 seconds (1676.98 work units)
Thread count was 20 (of 40 available processors)

Solution count 2: 964 963 

Time limit reached
Best objective 9.640000000000e+02, best bound 1.846880058218e+03, gap 91.5851%

User-callback calls 232989527, time in user-callback 96.01 sec
