root_relax = 1729.0
opt = false
obj_val = 1414.2
solved_time = 1800.0108
explored_nodes = 130925369
 LogFile to value "./res/Gurobi/QP/bcc4004.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 22:09:01 2025

Set parameter LogFile to value "./res/Gurobi/QP/bcc4004.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 0 rows, 63 columns and 0 nonzeros
Model fingerprint: 0x6b2727ff
Model has 1729 quadratic objective terms
Variable types: 0 continuous, 63 integer (63 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [1e+01, 6e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [0e+00, 0e+00]
Variable types: 0 continuous, 63 integer (63 binary)

Root relaxation: objective 2.640045e+03, 73 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 9407458 6805281 1507.39269   29   41  955.00000 1603.54053  67.9%   2.6  145s
 9754284 7039701 1508.37073   29   39  955.00000 1603.22441  67.9%   2.6  150s
 10092389 7268944 1248.02910   35   33  955.00000 1602.84834  67.8%   2.6  155s
 10425423 7501632 1320.41880   33   37  955.00000 1602.58736  67.8%   2.6  160s
 10750285 7734650 1460.47239   30   40  955.00000 1602.18621  67.8%   2.7  165s
 11081953 7951253 1279.90747   34   37  955.00000 1601.38493  67.7%   2.7  170s
 11422529 8186240 1235.52449   35   31  955.00000 1599.01512  67.4%   2.7  175s
 11761954 8421577 1462.74022   30   38  955.00000 1574.09825  64.8%   2.7  180s
 12117090 8680239 1331.59555   33   35  955.00000 1564.54797  63.8%   2.7  185s
 12476367 8936724 1516.09937   29   39  955.00000 1562.49636  63.6%   2.7  190s
 12831837 9192178 1038.33445   44   24  955.00000 1561.22328  63.5%   2.7  195s
 13181723 9447248 1276.94860   34   36  955.00000 1560.49423  63.4%   2.7  200s
 13535152 9704174 1330.26830   33   35  955.00000 1559.86360  63.3%   2.6  205s
 13894571 9952464 1330.46891   33   36  955.00000 1559.32787  63.3%   2.6  210s
 14236314 10194902 1010.97147   47   20  955.00000 1558.85982  63.2%   2.6  215s
 14582328 10432631 1162.77340   38   30  955.00000 1558.55039  63.2%   2.6  220s
 14934569 10672481 1154.24113   38   33  955.00000 1558.17181  63.2%   2.6  225s
 15279614 10911486 1418.87757   31   37  955.00000 1557.81748  63.1%   2.6  230s
 15625270 11153117 1511.44761   29   39  955.00000 1557.60004  63.1%   2.6  235s
 15981584 11390339  967.83034   49   20  955.00000 1557.26726  63.1%   2.6  240s
 16322915 11626470 1136.49844   39   30  955.00000 1556.98823  63.0%   2.6  245s
 16668760 11869583 1415.63856   31   38  955.00000 1556.76095  63.0%   2.6  250s
 17015934 12104093 1222.27204   36   32  955.00000 1556.57736  63.0%   2.6  255s
 17364398 12338755 1460.94822   30   38  955.00000 1556.37827  63.0%   2.6  260s
 17698519 12568008 1007.73543   46   23  955.00000 1556.17416  63.0%   2.6  265s
 18032162 12799802 1186.35700   37   34  955.00000 1555.86401  62.9%   2.6  270s
 18367522 13029093 1366.60798   32   36  955.00000 1555.68037  62.9%   2.6  275s
 18710244 13257617 1243.93232   35   34  955.00000 1555.49211  62.9%   2.6  280s
 19051863 13489089 1508.35062   29   39  955.00000 1555.34585  62.9%   2.6  285s
 19400104 13718319 1460.10302   30   39  955.00000 1555.10226  62.8%   2.6  290s
 19734754 13949487 1321.11985   33   38  955.00000 1554.85483  62.8%   2.6  295s
 20087560 14181761 1367.47853   32   36  955.00000 1554.62921  62.8%   2.6  300s
 20432542 14422943 1138.72474   39   29  955.00000 1554.41868  62.8%   2.6  305s
 20770487 14659371 1142.82635   39   29  955.00000 1554.08452  62.7%   2.6  310s
 21118707 14896370 1553.50927   28   42  955.00000 1553.70222  62.7%   2.7  315s
 21458745 15131242 1282.56402   34   32  955.00000 1553.23439  62.6%   2.7  320s
 21799651 15359290  984.96049   47   24  955.00000 1552.54555  62.6%   2.7  325s
 22145069 15590576 1167.13071   38   28  955.00000 1549.96322  62.3%   2.7  330s
 22494485 15825294 1134.27145   39   26  955.00000 1537.39291  61.0%   2.7  335s
 22834081 16053489 1212.88211   37   31  955.00000 1526.01394  59.8%   2.7  340s
 23188871 16314252 1291.44969   34   34  955.00000 1519.16467  59.1%   2.7  345s
 23545954 16577690 1172.31495   38   30  955.00000 1517.39628  58.9%   2.7  350s
 23898099 16838547 1043.92888   43   23  955.00000 1516.19467  58.8%   2.7  355s
 24267414 17099812 1175.08072   38   30  955.00000 1515.18106  58.7%   2.7  360s
 24631567 17356622 1226.80097   36   32  955.00000 1514.54997  58.6%   2.7  365s
 24994348 17608235 1417.29387   31   37  955.00000 1513.80741  58.5%   2.7  370s
 25372194 17864035 1464.81653   30   39  955.00000 1513.38844  58.5%   2.7  375s
 25736702 18117233 1462.83763   30   38  955.00000 1512.87234  58.4%   2.7  380s
 26093796 18370725 1194.75038   37   31  955.00000 1512.53908  58.4%   2.6  385s
 26464043 18621920  959.41843   51   17  955.00000 1512.26330  58.4%   2.6  390s
 26825029 18873722 1369.07845   32   36  955.00000 1511.91569  58.3%   2.6  395s
 27186427 19126834 1157.54232   38   30  955.00000 1511.65169  58.3%   2.6  400s
 27553150 19369793 1069.69681   42   26  955.00000 1511.40201  58.3%   2.6  405s
 27911145 19618049  970.69264   50   15  955.00000 1511.17562  58.2%   2.6  410s
 28270760 19864773  957.09399   48   20  955.00000 1511.00154  58.2%   2.6  415s
 28641510 20105352 1417.26771   31   36  955.00000 1510.71236  58.2%   2.6  420s
 29000067 20353444 1042.46529   44   24  955.00000 1510.56031  58.2%   2.6  425s
 29355391 20593305 1186.59725   37   33  955.00000 1510.39795  58.2%   2.6  430s
 29715424 20839372 1117.47188   40   28  955.00000 1510.24004  58.1%   2.6  435s
 30072817 21081641  957.86540   52   15  955.00000 1510.10671  58.1%   2.6  440s
 30434151 21327095 1413.49027   31   39  955.00000 1509.87203  58.1%   2.6  445s
 30777300 21570337 1364.72226   32   40  955.00000 1509.71566  58.1%   2.6  450s
 31139626 21806042 1284.22132   34   34  955.00000 1509.61149  58.1%   2.6  455s
 31487768 22038449 1000.80625   47   20  955.00000 1509.46767  58.1%   2.6  460s
 31847800 22282483  991.64534   47   18  955.00000 1509.37653  58.0%   2.6  465s
 32203671 22523410 1215.80706   36   33  955.00000 1509.23370  58.0%   2.6  470s
 32559314 22766034 1418.12648   31   37  955.00000 1509.12873  58.0%   2.6  475s
 32914792 23009184 1365.69905   32   37  955.00000 1509.03427  58.0%   2.6  480s
 33270230 23238648 1284.92123   34   35  955.00000 1508.83126  58.0%   2.6  485s
 33623751 23477725 1068.58736   42   29  955.00000 1508.69562  58.0%   2.6  490s
 33982855 23708583 1046.30780   44   24  955.00000 1508.61183  58.0%   2.6  495s
 34341837 23949477 1321.66896   33   36  955.00000 1508.46615  58.0%   2.6  500s
 34697895 24189367 1000.52267   47   22  955.00000 1508.38267  57.9%   2.6  505s
 35060306 24432899 1458.38825   30   40  955.00000 1508.27770  57.9%   2.6  510s
 35427900 24666391  958.60165   50   18  955.00000 1508.13818  57.9%   2.6  515s
 35781761 24907356 1320.30429   33   36  955.00000 1508.05881  57.9%   2.6  520s
 36142106 25138663  973.41756   48   22  955.00000 1507.87317  57.9%   2.6  525s
 36502699 25374579 1367.57847   32   37  955.00000 1507.77294  57.9%   2.6  530s
 36868578 25604100 1117.85214   40   28  955.00000 1507.66288  57.9%   2.6  535s
 37216873 25837948 1041.86177   43   18  955.00000 1507.61446  57.9%   2.6  540s
 37579853 26069126 1366.77334   32   39  955.00000 1507.45001  57.8%   2.6  545s
 37934071 26307569 1085.19395   41   27  955.00000 1507.34990  57.8%   2.6  550s
 38289446 26548716 1458.07569   30   40  955.00000 1507.19284  57.8%   2.6  555s
 38642706 26787704  957.25505   51   16  955.00000 1507.05583  57.8%   2.6  560s
 38996875 27018968 1214.99141   36   35  955.00000 1506.81452  57.8%   2.6  565s
 39360820 27254890 1086.92050   41   25  955.00000 1506.66170  57.8%   2.6  570s
 39717770 27489237 1365.48719   32   36  955.00000 1506.55391  57.8%   2.6  575s
 40078877 27713221 1109.89010   40   29  955.00000 1506.28465  57.7%   2.6  580s
 40431301 27946312 1183.72456   37   31  955.00000 1506.05771  57.7%   2.6  585s
 40799713 28175418 1370.40104   32   36  955.00000 1505.67876  57.7%   2.6  590s
 41155257 28400389 1179.05919   37   31  955.00000 1505.36309  57.6%   2.6  595s
 41517268 28622729 1410.46305   31   38  955.00000 1504.91047  57.6%   2.6  600s
 41873313 28856041 1204.82621   36   30  955.00000 1504.35101  57.5%   2.6  605s
 42227626 29088186 1072.07715   42   26  955.00000 1503.35043  57.4%   2.6  610s
 42581407 29319394 1186.95999   37   31  955.00000 1501.04745  57.2%   2.6  615s
 42930463 29556666 1158.41454   38   32  955.00000 1495.36658  56.6%   2.6  620s
 43288103 29780920 1089.88205   41   28  955.00000 1487.65376  55.8%   2.6  625s
 43647572 30010519 1413.12214   31   38  955.00000 1478.32084  54.8%   2.7  630s
 44011056 30262560  966.70488   50   15  955.00000 1474.35955  54.4%   2.7  635s
 44391898 30530702  960.56255   49   20  955.00000 1472.18263  54.2%   2.6  640s
 44779579 30799622 1226.22484   36   32  955.00000 1470.65650  54.0%   2.6  645s
 45154816 31069690  994.03742   48   19  955.00000 1469.79327  53.9%   2.6  650s
 45526199 31338468  958.31912   50   19  955.00000 1469.17652  53.8%   2.6  655s
 45893595 31607658 1003.33267   48   19  955.00000 1468.61881  53.8%   2.6  660s
 46277221 31880374 1144.78021   39   29  955.00000 1468.20434  53.7%   2.6  665s
 46658745 32138782 1025.33965   45   20  955.00000 1467.73963  53.7%   2.6  670s
 47036583 32398599 1028.66099   44   27  955.00000 1467.37920  53.7%   2.6  675s
 47423740 32667752 1287.66003   34   34  955.00000 1467.09096  53.6%   2.6  680s
 47789138 32919238  965.85635   51   17  955.00000 1466.74317  53.6%   2.6  685s
 48165122 33178625 1251.09911   35   33  955.00000 1466.44105  53.6%   2.6  690s
 48550154 33426636 1374.42899   32   36  955.00000 1466.21334  53.5%   2.6  695s
 48920017 33685760  966.10734   49   14  955.00000 1466.00686  53.5%   2.6  700s
 49295376 33937873 1287.38277   34   34  955.00000 1465.75731  53.5%   2.6  705s
 49678645 34190632 1331.97268   33   35  955.00000 1465.48986  53.5%   2.6  710s
 50056365 34442211 1419.86863   31   37  955.00000 1465.29337  53.4%   2.6  715s
 50432543 34696250 1289.97379   34   34  955.00000 1465.13076  53.4%   2.6  720s
 50809782 34953893  958.58810   50   20  955.00000 1464.99882  53.4%   2.6  725s
 51183940 35207737 1075.56406   42   26  955.00000 1464.80429  53.4%   2.6  730s
 51555897 35446517     cutoff   53       955.00000 1464.62786  53.4%   2.6  735s
 51944512 35689256 1161.34776   38   30  955.00000 1464.45911  53.3%   2.6  740s
 52318222 35929913 1056.99626   43   22  955.00000 1464.31343  53.3%   2.6  745s
 52698814 36176433 1418.77564   31   37  955.00000 1464.19821  53.3%   2.6  750s
 53066420 36425381 1024.51348   45   20  955.00000 1464.09754  53.3%   2.6  755s
 53442557 36676540 1166.09703   38   30  955.00000 1463.96488  53.3%   2.6  760s
 53811917 36927290 1067.67893   42   24  955.00000 1463.81654  53.3%   2.6  765s
 54177890 37171023 1136.16866   39   29  955.00000 1463.71579  53.3%   2.6  770s
 54553829 37415939  971.67446   50   19  955.00000 1463.54931  53.3%   2.6  775s
 54925056 37653980 1001.56178   47   20  955.00000 1463.44545  53.2%   2.6  780s
 55292606 37896511  997.01453   47   18  955.00000 1463.36159  53.2%   2.6  785s
 55670744 38129899 1245.86932   35   35  955.00000 1463.29337  53.2%   2.6  790s
 56042135 38370339 1025.41310   45   23  955.00000 1463.21588  53.2%   2.6  795s
 56415776 38614943 1323.56850   33   36  955.00000 1463.12640  53.2%   2.6  800s
 56796902 38855596 1029.98722   45   24  955.00000 1463.03994  53.2%   2.6  805s
 57173160 39099765  969.50581   50   18  955.00000 1462.88229  53.2%   2.6  810s
 57542102 39335645 1131.43882   39   28  955.00000 1462.78560  53.2%   2.6  815s
 57907582 39579155 1068.68131   42   27  955.00000 1462.70989  53.2%   2.6  820s
 58267321 39816159 1243.18910   35   34  955.00000 1462.58286  53.2%   2.6  825s
 58627027 40056360 1280.95123   34   34  955.00000 1462.50497  53.1%   2.6  830s
 58992318 40294639 1088.75187   41   30  955.00000 1462.43848  53.1%   2.6  835s
 59372932 40529446 1028.40742   45   20  955.00000 1462.34157  53.1%   2.6  840s
 59739224 40762618 1157.96510   38   32  955.00000 1462.30601  53.1%   2.6  845s
 60107952 41000152 1320.89535   33   38  955.00000 1462.24848  53.1%   2.6  850s
 60486570 41238632  988.39863   47   22  955.00000 1462.18361  53.1%   2.6  855s
 60861346 41469167  967.60539   51   17  955.00000 1462.12474  53.1%   2.6  860s
 61233806 41715179 1155.11117   38   32  955.00000 1462.06574  53.1%   2.6  865s
 61618152 41948063  984.78958   48   20  955.00000 1461.96549  53.1%   2.6  870s
 61988333 42188207 1168.26622   38   30  955.00000 1461.87058  53.1%   2.6  875s
 62345789 42426282 1107.36255   40   25  955.00000 1461.79990  53.1%   2.6  880s
 62708585 42664730 1098.36319   41   28  955.00000 1461.73331  53.1%   2.6  885s
 63062735 42899584 1289.19565   34   34  955.00000 1461.63594  53.1%   2.6  890s
 63441537 43134153 1416.43313   31   38  955.00000 1461.56898  53.0%   2.6  895s
 63821697 43371229 1105.00743   40   28  955.00000 1461.47728  53.0%   2.6  900s
 64186943 43603323 1187.34637   37   34  955.00000 1461.43137  53.0%   2.6  905s
 64553034 43847447 1414.73745   31   38  955.00000 1461.36759  53.0%   2.6  910s
 64915023 44086051 1415.21629   31   37  955.00000 1461.32175  53.0%   2.6  915s
 65282754 44323367 1048.69933   43   28  955.00000 1461.27234  53.0%   2.6  920s
 65651440 44559700 1084.79571   41   29  955.00000 1461.20432  53.0%   2.6  925s
 66023841 44796310 1039.96854   44   24  955.00000 1461.13191  53.0%   2.6  930s
 66392299 45035352 1093.13750   41   27  955.00000 1461.08916  53.0%   2.6  935s
 66773451 45276266 1281.22592   34   34  955.00000 1461.02257  53.0%   2.6  940s
 67138738 45511570 1365.45705   32   39  955.00000 1460.95626  53.0%   2.6  945s
 67502775 45744550 1137.57153   39   29  955.00000 1460.86809  53.0%   2.6  950s
 67858473 45979254 1278.91656   34   37  955.00000 1460.80072  53.0%   2.6  955s
 68219185 46210011 1281.04861   34   36  955.00000 1460.71763  53.0%   2.6  960s
 68577113 46444520 1322.37216   33   37  955.00000 1460.62203  52.9%   2.6  965s
 68949619 46682300 1460.53223   30   39  955.00000 1460.54377  52.9%   2.6  970s
 69308746 46921450 1000.64295   46   24  955.00000 1460.47309  52.9%   2.6  975s
 69666650 47158180 1242.64070   35   35  955.00000 1460.43386  52.9%   2.6  980s
 70026999 47396368 1087.28697   41   27  955.00000 1460.37527  52.9%   2.6  985s
 70386666 47626607  961.04609   49   21  955.00000 1460.33155  52.9%   2.6  990s
 70766493 47852987 1279.13481   34   36  955.00000 1460.24806  52.9%   2.6  995s
 71139953 48083322 1134.15805   39   30  955.00000 1460.16795  52.9%   2.6 1000s
 71504803 48317065 1413.72853   31   38  955.00000 1460.11729  52.9%   2.6 1005s
 71869633 48545250 1416.08094   31   38  955.00000 1460.06401  52.9%   2.6 1010s
 72224968 48787332  978.89746   48   22  955.00000 1459.99635  52.9%   2.6 1015s
 72575036 49017242 1243.33936   35   35  955.00000 1459.90757  52.9%   2.6 1020s
 72941343 49246761 1412.28553   31   38  955.00000 1459.82187  52.9%   2.6 1025s
 73296083 49477571 1321.98369   33   35  955.00000 1459.71581  52.8%   2.6 1030s
 73651065 49709031 1273.39428   34   34  955.00000 1459.59724  52.8%   2.6 1035s
 74003818 49942288 1157.16099   38   33  955.00000 1459.51335  52.8%   2.6 1040s
 74361788 50174919 1282.85004   34   36  955.00000 1459.44995  52.8%   2.6 1045s
 74713605 50404146 1245.72495   35   34  955.00000 1459.39049  52.8%   2.6 1050s
 75063408 50637512 1179.04409   37   30  955.00000 1459.33542  52.8%   2.6 1055s
 75419645 50866611 1278.04386   34   34  955.00000 1459.24547  52.8%   2.6 1060s
 75776590 51097263 1213.67442   36   35  955.00000 1459.14538  52.8%   2.6 1065s
 76138926 51325283 1368.79930   32   36  955.00000 1459.07418  52.8%   2.6 1070s
 76511543 51559960 1217.81722   36   32  955.00000 1458.93355  52.8%   2.6 1075s
 76855540 51789528 1319.18189   33   37  955.00000 1458.84532  52.8%   2.6 1080s
 77221405 52022196 1212.22811   36   33  955.00000 1458.64963  52.7%   2.6 1085s
 77584120 52252630  981.32262   47   21  955.00000 1458.49344  52.7%   2.6 1090s
 77934157 52493083 1110.58905   40   28  955.00000 1458.41305  52.7%   2.6 1095s
 78295220 52729027 1019.65320   45   25  955.00000 1458.27830  52.7%   2.6 1100s
 78671084 52960510 1313.68844   33   36  955.00000 1458.09954  52.7%   2.6 1105s
 79037258 53200020  968.05769   49   21  955.00000 1457.92712  52.7%   2.6 1110s
 79415128 53437391  975.11895   48   21  955.00000 1457.63804  52.6%   2.6 1115s
 79776555 53675429 1243.53467   35   35  955.00000 1457.39948  52.6%   2.6 1120s
 80147952 53911657 1156.84799   38   29  955.00000 1457.00844  52.6%   2.6 1125s
 80529320 54151443 1323.88419   33   35  955.00000 1456.54440  52.5%   2.6 1130s
 80896053 54389887 1146.64898   38   28  955.00000 1456.00426  52.5%   2.6 1135s
 81266302 54619859  958.29205   51   14  955.00000 1455.19960  52.4%   2.6 1140s
 81632952 54861053 1271.26788   34   33  955.00000 1454.08658  52.3%   2.6 1145s
 82012234 55099463 1029.97185   45   23  955.00000 1451.50290  52.0%   2.6 1150s
 82379185 55335643 1367.68430   32   36  955.00000 1447.42694  51.6%   2.6 1155s
 82747133 55569990 1016.01566   46   20  955.00000 1444.32516  51.2%   2.6 1160s
 83113997 55806017 1244.50035   35   35  955.00000 1441.64989  51.0%   2.6 1165s
 83475453 56045693 1238.00034   35   34  955.00000 1438.83186  50.7%   2.6 1170s
 83840529 56280182  961.67640   50   18  955.00000 1434.90347  50.3%   2.7 1175s
 84207822 56517366 1185.97234   37   28  955.00000 1432.42021  50.0%   2.7 1180s
 84571779 56758838 1141.47570   39   29  955.00000 1430.25573  49.8%   2.7 1185s
 84962575 57012393 1182.89953   38   30  955.00000 1428.02736  49.5%   2.7 1190s
 85347150 57283480 1130.75684   39   30  955.00000 1426.63185  49.4%   2.7 1195s
 85729297 57543414 1087.63326   42   26  955.00000 1425.71785  49.3%   2.7 1200s
 86107246 57805672  955.37172   50   19  955.00000 1425.01224  49.2%   2.7 1205s
 86494108 58066547 1059.84626   43   22  955.00000 1424.40503  49.2%   2.7 1210s
 86878123 58328717 1257.39888   35   32  955.00000 1423.95996  49.1%   2.6 1215s
 87257685 58590211 1174.49405   38   30  955.00000 1423.45731  49.1%   2.6 1220s
 87630212 58852544  959.85704   53   15  955.00000 1423.18020  49.0%   2.6 1225s
 88014146 59104632 1330.29536   33   35  955.00000 1422.78971  49.0%   2.6 1230s
 88391797 59372067 1060.69732   43   24  955.00000 1422.45693  48.9%   2.6 1235s
 88757866 59636242 1258.55313   35   33  955.00000 1422.28643  48.9%   2.6 1240s
 89134926 59892595 1110.43050   41   27  955.00000 1422.05545  48.9%   2.6 1245s
 89509320 60147402 1106.48322   40   29  955.00000 1421.78304  48.9%   2.6 1250s
 89889376 60402691 1108.17991   40   31  955.00000 1421.55647  48.9%   2.6 1255s
 90269197 60664036 1286.37081   34   35  955.00000 1421.31383  48.8%   2.6 1260s
 90645126 60919031 1222.93027   36   32  955.00000 1421.17269  48.8%   2.6 1265s
 91028443 61172539 1097.81143   41   27  955.00000 1420.98385  48.8%   2.6 1270s
 91416961 61422413 1121.32114   40   28  955.00000 1420.72174  48.8%   2.6 1275s
 91804841 61675987 1283.85919   34   34  955.00000 1420.45925  48.7%   2.6 1280s
 92180378 61931385 1165.45462   38   29  955.00000 1420.29386  48.7%   2.6 1285s
 92565740 62182734 1374.42899   32   36  955.00000 1420.15686  48.7%   2.6 1290s
 92941486 62438248 1144.03527   39   28  955.00000 1420.01809  48.7%   2.6 1295s
 93326341 62687461 1062.38748   43   24  955.00000 1419.93436  48.7%   2.6 1300s
 93710137 62932616 1198.09992   37   31  955.00000 1419.76013  48.7%   2.6 1305s
 94090575 63183449 1222.71179   36   32  955.00000 1419.65715  48.7%   2.6 1310s
 94465729 63437292 1223.82855   36   32  955.00000 1419.40632  48.6%   2.6 1315s
 94862783 63692404 1043.35726   44   24  955.00000 1419.27058  48.6%   2.6 1320s
 95250817 63938745 1032.78209   45   23  955.00000 1419.17269  48.6%   2.6 1325s
 95640415 64188779 1196.10259   37   31  955.00000 1419.04727  48.6%   2.6 1330s
 96016587 64442122 1287.82670   34   34  955.00000 1418.99357  48.6%   2.6 1335s
 96398940 64696871 1145.59444   39   29  955.00000 1418.92558  48.6%   2.6 1340s
 96787791 64941451 1161.11991   38   29  955.00000 1418.77903  48.6%   2.6 1345s
 97176793 65192400  980.39573   49   16  955.00000 1418.71069  48.6%   2.6 1350s
 97559987 65445763 1192.28716   37   31  955.00000 1418.61813  48.5%   2.6 1355s
 97938702 65695756 1170.46488   38   30  955.00000 1418.40736  48.5%   2.6 1360s
 98326677 65943420 1165.41265   38   29  955.00000 1418.32737  48.5%   2.6 1365s
