root_relax = 925.0
opt = false
obj_val = 663.16
solved_time = 1805.1088
explored_nodes = 133637322
nb_dom_cuts = 238
"./res/Gurobi/QP_Dom/bcc86501.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Thu Feb  6 01:43:31 2025

Set parameter LogFile to value "./res/Gurobi/QP_Dom/bcc86501.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 238 rows, 67 columns and 2546 nonzeros
Model fingerprint: 0x3fa2f9e4
Model has 925 quadratic objective terms
Variable types: 0 continuous, 67 integer (67 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+00, 5e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 3e+01]
Variable types: 0 continuous, 67 integer (67 binary)

Root relaxation: objective 1.605149e+03, 83 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 1605.14920    0   66          - 1605.14920      -     -    0s
     0     0  925.00000    0   66          -  925.00000      -     -    0s
     0     2  925.00000    0   66          -  925.00000      -     -    0s
* 1743  2046              64     487.0000000  925.00000  89.9%   3.0    0s
* 1758  2034              61     492.0000000  925.00000  88.0%   2.9    0s
* 2790  2740              56     493.0000000  925.00000  87.6%   3.0    0s
* 2839  2730              55     494.0000000  925.00000  87.2%   3.0    0s
 38699487 28084844     cutoff   47       494.00000  729.07695  47.6%   3.3  510s
 39097579 28362850  526.87131   39   33  494.00000  729.07695  47.6%   3.3  515s
 39500738 28638717  573.45342   35   38  494.00000  729.04813  47.6%   3.3  520s
 39899856 28918430  624.31114   32   38  494.00000  726.23849  47.0%   3.3  525s
 40297672 29208647  563.39436   35   35  494.00000  722.40419  46.2%   3.3  530s
 40694831 29487097  528.25331   39   34  494.00000  699.37814  41.6%   3.3  535s
 41092132 29760066  610.91649   33   39  494.00000  699.37814  41.6%   3.3  540s
 41484181 30040371  528.18041   39   37  494.00000  699.37814  41.6%   3.3  545s
 41874457 30318016  495.02900   55    9  494.00000  699.37814  41.6%   3.3  550s
 42265698 30598423  498.99283   51   15  494.00000  699.37814  41.6%   3.3  555s
 42652653 30876541  495.50432   54   11  494.00000  698.24720  41.3%   3.3  560s
 43039192 31145894  546.12582   37   36  494.00000  698.24720  41.3%   3.3  565s
 43423162 31418237  527.93554   39   33  494.00000  698.24720  41.3%   3.3  570s
 43806471 31695271  612.16294   33   43  494.00000  698.24720  41.3%   3.3  575s
 44187071 31969030  536.13639   38   35  494.00000  698.24720  41.3%   3.3  580s
 44569796 32242059  612.23613   33   40  494.00000  698.24720  41.3%   3.3  585s
 44943550 32515619  526.87131   39   33  494.00000  698.24720  41.3%   3.3  590s
 45322720 32784620  528.18041   39   37  494.00000  698.24720  41.3%   3.3  595s
 45704543 33056667  664.40073   31   45  494.00000  698.24720  41.3%   3.3  600s
 46082691 33322975  496.05249   50   15  494.00000  698.24720  41.3%   3.3  605s
 46462414 33591469  494.36820   53   12  494.00000  698.24720  41.3%   3.3  610s
 46835438 33859581  517.76319   41   35  494.00000  698.24720  41.3%   3.3  615s
 47221041 34126021  507.89191   44   28  494.00000  698.24720  41.3%   3.3  620s
 47599398 34397532  573.38028   35   41  494.00000  698.24720  41.3%   3.3  625s
 47970822 34663185  545.81367   37   35  494.00000  698.24720  41.3%   3.3  630s
 48341839 34932411  494.19622   57    7  494.00000  698.24720  41.3%   3.3  635s
 48724464 35202871  514.30789   42   30  494.00000  698.24720  41.3%   3.3  640s
 49116242 35473963  636.45422   32   41  494.00000  698.24720  41.3%   3.3  645s
 49502310 35745516  535.39632   38   34  494.00000  698.24720  41.3%   3.3  650s
 49891332 36024368  612.16294   33   43  494.00000  698.24720  41.3%   3.3  655s
 50295158 36300425  496.29266   43   27  494.00000  697.21653  41.1%   3.3  660s
 50693397 36576701  519.96712   40   31  494.00000  696.26720  40.9%   3.3  665s
 51077509 36848102  517.76319   41   35  494.00000  696.26720  40.9%   3.3  670s
 51466670 37122835  494.19622   57    7  494.00000  696.26720  40.9%   3.3  675s
 51850570 37399891  500.10778   50   16  494.00000  696.26720  40.9%   3.3  680s
 52239300 37676964  517.83584   41   32  494.00000  696.26720  40.9%   3.3  685s
 52617560 37948389  573.38028   35   41  494.00000  696.26720  40.9%   3.3  690s
 52999565 38217954  535.39632   38   34  494.00000  696.26720  40.9%   3.3  695s
 53387422 38491364  636.55180   32   41  494.00000  696.26720  40.9%   3.3  700s
 53769200 38766339  528.18041   39   37  494.00000  696.26720  40.9%   3.3  705s
 54162155 39045653  636.55180   32   41  494.00000  696.16991  40.9%   3.3  710s
 54554833 39326143  636.45422   32   41  494.00000  696.16991  40.9%   3.3  715s
 54941536 39609795  531.48068   38   33  494.00000  696.16991  40.9%   3.3  720s
 55341168 39895229  494.12500   62    1  494.00000  696.16991  40.9%   3.3  725s
 55733820 40170180  494.19622   57    7  494.00000  696.16991  40.9%   3.3  730s
 56119029 40445716  611.92993   33   39  494.00000  696.16991  40.9%   3.3  735s
 56518887 40728061  494.02797   52   14  494.00000  696.16991  40.9%   3.3  740s
 56910345 41008506  664.16952   31   41  494.00000  696.16991  40.9%   3.3  745s
 57313585 41284043  524.91475   39   32  494.00000  696.16991  40.9%   3.3  750s
 57701056 41562224  506.98474   45   24  494.00000  696.16991  40.9%   3.3  755s
 58091011 41839359  612.16294   33   43  494.00000  696.16991  40.9%   3.3  760s
 58482241 42117640  612.23613   33   40  494.00000  696.16991  40.9%   3.3  765s
 58876831 42395785  521.48068   40   32  494.00000  696.16991  40.9%   3.3  770s
 59269962 42672315  496.75101   50   14  494.00000  696.16991  40.9%   3.3  775s
 59666333 42949265  514.30789   42   30  494.00000  696.16991  40.9%   3.3  780s
 60067166 43229456  612.16294   33   43  494.00000  696.16991  40.9%   3.3  785s
 60458356 43506859  558.48640   36   37  494.00000  696.16991  40.9%   3.3  790s
 60850185 43787272  591.19356   34   39  494.00000  696.16991  40.9%   3.3  795s
 61249611 44071725  591.19356   34   39  494.00000  696.16991  40.9%   3.3  800s
 61645975 44352305  612.23613   33   40  494.00000  696.16991  40.9%   3.3  805s
 62039557 44633556  591.29154   34   39  494.00000  696.16991  40.9%   3.3  810s
 62428225 44917088  573.45342   35   38  494.00000  696.16991  40.9%   3.3  815s
 62822610 45197348  573.14480   35   37  494.00000  696.16991  40.9%   3.3  820s
 63225115 45478595  664.47398   31   42  494.00000  696.16991  40.9%   3.3  825s
 63613820 45752795  664.47398   31   42  494.00000  696.16991  40.9%   3.3  830s
 64005187 46025555  558.48640   36   37  494.00000  696.16991  40.9%   3.3  835s
 64387464 46298661  504.23216   46   20  494.00000  696.16991  40.9%   3.3  840s
 64771577 46575856  557.75850   36   36  494.00000  695.55720  40.8%   3.3  845s
 65158293 46859250  497.41570   52   13  494.00000  695.55720  40.8%   3.3  850s
 65557791 47138039  508.03682   44   29  494.00000  695.55720  40.8%   3.3  855s
 65957887 47414887  572.12076   35   37  494.00000  695.55720  40.8%   3.3  860s
 66347964 47694921  590.57164   34   38  494.00000  695.55720  40.8%   3.3  865s
 66736765 47971554  533.93111   38   33  494.00000  695.55720  40.8%   3.3  870s
 67123131 48245260  664.16952   31   41  494.00000  695.55720  40.8%   3.3  875s
 67517615 48526548  636.45422   32   41  494.00000  695.55720  40.8%   3.3  880s
 67910963 48804917  496.74640   52   12  494.00000  695.55720  40.8%   3.3  885s
 68311031 49088457  612.23613   33   40  494.00000  695.55720  40.8%   3.3  890s
 68708043 49376153  610.91649   33   39  494.00000  695.55720  40.8%   3.3  895s
 69103986 49659185  609.07165   33   38  494.00000  695.55720  40.8%   3.3  900s
 69505331 49937694  528.25331   39   34  494.00000  695.55720  40.8%   3.3  905s
 69901114 50222544  494.69622   55    8  494.00000  695.55720  40.8%   3.3  910s
 70300300 50502662  611.92993   33   39  494.00000  695.55720  40.8%   3.3  915s
 70693581 50787234  495.58190   53   11  494.00000  695.55720  40.8%   3.3  920s
 71093244 51069960  499.88487   49   17  494.00000  695.55720  40.8%   3.3  925s
 71488743 51349064  502.26208   48   15  494.00000  695.55720  40.8%   3.3  930s
 71890612 51631852  636.45422   32   41  494.00000  695.55720  40.8%   3.3  935s
 72281257 51914573  498.75405   50   14  494.00000  695.55720  40.8%   3.3  940s
 72684217 52195920  494.19622   56    7  494.00000  695.55720  40.8%   3.3  945s
 73082035 52469532  516.39768   41   31  494.00000  694.15993  40.5%   3.3  950s
 73485484 52745275  544.77416   37   35  494.00000  694.15993  40.5%   3.3  955s
 73890741 53018008  546.05277   37   39  494.00000  694.15993  40.5%   3.3  960s
 74293597 53293720  494.43897   51   16  494.00000  694.15993  40.5%   3.3  965s
 74696908 53574919  502.29371   46   25  494.00000  694.15993  40.5%   3.3  970s
 75097794 53861720  586.79947   34   37  494.00000  694.15993  40.5%   3.3  975s
 75503961 54147648  694.15992   30   41  494.00000  694.15993  40.5%   3.3  980s
 75912418 54432275  508.03682   44   29  494.00000  694.15993  40.5%   3.3  985s
 76320755 54715435  528.18041   39   37  494.00000  694.15993  40.5%   3.3  990s
 76716207 54984635  522.24146   40   33  494.00000  694.15993  40.5%   3.3  995s
 77121820 55257582  501.11982   49   14  494.00000  693.26835  40.3%   3.3 1000s
 77536264 55542345  539.91616   37   34  494.00000  693.26835  40.3%   3.3 1005s
 77939480 55824816  494.52900   56    8  494.00000  693.26835  40.3%   3.3 1010s
 78341915 56094214  536.13639   38   35  494.00000  691.85424  40.1%   3.3 1015s
 78739814 56367675  589.15230   34   37  494.00000  691.85424  40.1%   3.3 1020s
 79146814 56649597  661.33547   31   40  494.00000  691.85424  40.1%   3.2 1025s
 79546024 56928924  553.92977   36   35  494.00000  691.85424  40.1%   3.2 1030s
 79944739 57200164  494.52900   56    8  494.00000  691.85424  40.1%   3.2 1035s
 80349407 57473518  505.85425   45   25  494.00000  691.85424  40.1%   3.2 1040s
 80753895 57751684  494.94103   40   28  494.00000  688.52038  39.4%   3.2 1045s
 81166894 58031108  497.41819   50   13  494.00000  688.52038  39.4%   3.2 1050s
 81567206 58310651  514.30789   42   30  494.00000  682.54288  38.2%   3.2 1055s
 81959606 58583377  612.16294   33   43  494.00000  682.54288  38.2%   3.2 1060s
 82342683 58849720  494.69459   50   15  494.00000  682.54288  38.2%   3.2 1065s
 82729924 59124444  636.55180   32   41  494.00000  682.54288  38.2%   3.2 1070s
 83118688 59389733  495.11234   55   10  494.00000  682.54288  38.2%   3.2 1075s
 83510649 59662553  510.99995   43   30  494.00000  682.54288  38.2%   3.2 1080s
 83906462 59932900  522.14076   40   33  494.00000  682.54288  38.2%   3.2 1085s
 84293696 60199806  573.38028   35   41  494.00000  682.54288  38.2%   3.2 1090s
 84677850 60468625  506.11683   46   21  494.00000  682.54288  38.2%   3.3 1095s
 85083700 60749340  546.05277   37   39  494.00000  664.47398  34.5%   3.3 1100s
 85465975 61020104  546.12582   37   36  494.00000  664.47398  34.5%   3.3 1105s
 85848661 61289322  522.14076   40   33  494.00000  664.47398  34.5%   3.3 1110s
 86239318 61560378  612.16294   33   43  494.00000  664.47398  34.5%   3.3 1115s
 86621554 61828908  558.38788   36   37  494.00000  664.47398  34.5%   3.3 1120s
 87009519 62097846  612.16294   33   43  494.00000  664.47398  34.5%   3.3 1125s
 87401915 62371298  535.39632   38   34  494.00000  664.47398  34.5%   3.3 1130s
 87797994 62645523  495.11234   55   10  494.00000  664.47398  34.5%   3.3 1135s
 88182323 62916879  636.45422   32   41  494.00000  664.47398  34.5%   3.3 1140s
 88569493 63191763  522.24146   40   33  494.00000  664.47398  34.5%   3.3 1145s
 88956173 63461551  504.42483   45   23  494.00000  664.47398  34.5%   3.3 1150s
 89333859 63732001  505.85425   45   25  494.00000  664.47398  34.5%   3.3 1155s
 89708395 64000610  546.05277   37   39  494.00000  664.47398  34.5%   3.3 1160s
 90099519 64276694  528.18041   39   37  494.00000  664.47398  34.5%   3.3 1165s
 90483700 64552173  591.19356   34   39  494.00000  664.47398  34.5%   3.3 1170s
 90875543 64824529  514.30789   42   30  494.00000  664.47398  34.5%   3.3 1175s
 91256884 65093773  636.55180   32   41  494.00000  664.47398  34.5%   3.3 1180s
 91650718 65366499  494.52900   56    8  494.00000  664.47398  34.5%   3.3 1185s
 92038909 65632732  573.45342   35   38  494.00000  664.47398  34.5%   3.3 1190s
 92422945 65905231  498.75405   50   14  494.00000  664.47398  34.5%   3.3 1195s
 92809929 66177285  636.55180   32   41  494.00000  664.47398  34.5%   3.3 1200s
 93196436 66446248  612.23613   33   40  494.00000  664.47398  34.5%   3.3 1205s
 93590861 66718743  636.55180   32   41  494.00000  664.47398  34.5%   3.3 1210s
 93979691 66987616  506.14044   46   24  494.00000  664.47398  34.5%   3.3 1215s
 94378374 67261985  558.48640   36   37  494.00000  664.47398  34.5%   3.3 1220s
 94765798 67535184  517.50764   41   31  494.00000  664.47398  34.5%   3.3 1225s
 95159252 67808037  495.58190   53   11  494.00000  664.47398  34.5%   3.3 1230s
 95561152 68085553  545.81367   37   35  494.00000  664.47398  34.5%   3.3 1235s
 95962314 68362982  664.47398   31   42  494.00000  664.47398  34.5%   3.3 1240s
 96356154 68636365  558.48640   36   37  494.00000  664.47398  34.5%   3.3 1245s
 96750848 68913551  494.19622   56    7  494.00000  664.47398  34.5%   3.3 1250s
 97142682 69194433  528.18041   39   37  494.00000  664.47398  34.5%   3.3 1255s
 97529887 69467731  508.03682   44   29  494.00000  664.47398  34.5%   3.3 1260s
 97921151 69743123  510.99995   43   30  494.00000  664.47398  34.5%   3.3 1265s
 98306825 70012746  497.77902   48   20  494.00000  664.47398  34.5%   3.3 1270s
 98701085 70285914  512.05875   42   31  494.00000  664.47398  34.5%   3.3 1275s
 99086935 70562906  591.29154   34   39  494.00000  664.47398  34.5%   3.3 1280s
 99474863 70832915  508.54118   43   28  494.00000  664.47398  34.5%   3.3 1285s
 99863239 71104700  499.88576   50   15  494.00000  664.47398  34.5%   3.3 1290s
 100246282 71374214  501.14824   48   15  494.00000  664.47398  34.5%   3.3 1295s
 100643974 71647445  510.99995   43   30  494.00000  664.47398  34.5%   3.3 1300s
 101039229 71922260  573.38028   35   41  494.00000  664.47398  34.5%   3.3 1305s
 101437850 72198788  536.13639   38   35  494.00000  664.47398  34.5%   3.3 1310s
 101826168 72470880  546.05277   37   39  494.00000  664.47398  34.5%   3.3 1315s
 102221707 72742550  612.16294   33   43  494.00000  664.47398  34.5%   3.3 1320s
 102616049 73018049  508.03682   44   29  494.00000  664.47398  34.5%   3.3 1325s
 103006211 73287619  508.03682   44   29  494.00000  664.47398  34.5%   3.3 1330s
 103398633 73558721  502.26208   48   15  494.00000  664.47398  34.5%   3.3 1335s
 103788807 73828034  498.74178   48   18  494.00000  664.47398  34.5%   3.3 1340s
 104188565 74099191  636.55180   32   41  494.00000  664.47398  34.5%   3.3 1345s
 104581800 74375253  511.64951   43   29  494.00000  664.47398  34.5%   3.3 1350s
 104966579 74652340  546.05277   37   39  494.00000  664.47398  34.5%   3.3 1355s
 105354872 74930301  496.11300   48   21  494.00000  664.47398  34.5%   3.3 1360s
 105752102 75208719  591.29154   34   39  494.00000  664.47398  34.5%   3.3 1365s
 106138758 75479119  546.12582   37   36  494.00000  664.47398  34.5%   3.3 1370s
 106535930 75755962  497.90311   46   24  494.00000  664.47398  34.5%   3.3 1375s
 106929672 76034042  612.23613   33   40  494.00000  664.47398  34.5%   3.3 1380s
 107322604 76315725  612.16294   33   43  494.00000  664.47398  34.5%   3.3 1385s
 107715284 76597279  636.45422   32   41  494.00000  664.47398  34.5%   3.3 1390s
 108109558 76868568  636.55180   32   41  494.00000  664.47398  34.5%   3.3 1395s
 108493845 77144272  522.14076   40   33  494.00000  664.47398  34.5%   3.3 1400s
