root_relax = 570.0
opt = false
obj_val = 347.01
solved_time = 1800.0122
explored_nodes = 143786993
nb_dom_cuts = 320
"./res/Gurobi/QP_Dom/bcc86527.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Thu Feb  6 02:22:17 2025

Set parameter LogFile to value "./res/Gurobi/QP_Dom/bcc86527.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 320 rows, 78 columns and 3632 nonzeros
Model fingerprint: 0x2479c44d
Model has 570 quadratic objective terms
Variable types: 0 continuous, 78 integer (78 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [2e+00, 4e+01]
  QObjective range [4e+00, 4e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e+00, 2e+01]
Variable types: 0 continuous, 78 integer (78 binary)

Root relaxation: objective 7.256954e+02, 96 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0  725.69537    0   77          -  725.69537      -     -    0s
     0     0  570.00000    0   77          -  570.00000      -     -    0s
     0     2  570.00000    0   77          -  570.00000      -     -    0s
* 1443  1684              56     323.0000000  570.00000  76.5%   3.5    0s
* 2277  2298              50     324.0000000  570.00000  75.9%   3.3    0s
 25958109 17373474  334.19939   38   40  324.00000  354.83160  9.52%   3.5  325s
 26373265 17665322     cutoff   49       324.00000  354.83160  9.52%   3.5  330s
 26786205 17954381  325.06090   49   20  324.00000  354.83160  9.52%   3.5  335s
 27203688 18247230  326.47868   48   17  324.00000  354.83160  9.52%   3.5  340s
 27615740 18536612  336.97435   38   40  324.00000  354.83160  9.52%   3.5  345s
 28038237 18831971  327.71489   46   21  324.00000  354.83160  9.52%   3.5  350s
 28459710 19126024  325.14236   52   12  324.00000  354.83160  9.52%   3.5  355s
 28861846 19406478  329.96756   44   25  324.00000  354.83160  9.52%   3.5  360s
 29275808 19698103  326.47868   48   17  324.00000  354.83160  9.52%   3.5  365s
 29683466 19985409  344.12298   34   45  324.00000  354.83160  9.52%   3.5  370s
 30091326 20274313  324.07787   59    7  324.00000  354.83160  9.52%   3.5  375s
 30493842 20538654  345.23525   33   47  324.00000  354.25893  9.34%   3.5  380s
 30891633 20785787  335.69795   39   34  324.00000  354.25893  9.34%   3.5  385s
 31300632 21049704  324.20277   52   15  324.00000  354.25893  9.34%   3.5  390s
 31719334 21324549  345.28550   33   46  324.00000  354.25893  9.34%   3.5  395s
 32132556 21590125  324.49700   49   12  324.00000  354.25893  9.34%   3.5  400s
 32547176 21860934  329.93030   38   38  324.00000  354.25893  9.34%   3.5  405s
 32950679 22096639  324.96606   48   21  324.00000  353.09153  8.98%   3.5  410s
 33357481 22342405  325.22843   51   11  324.00000  353.09153  8.98%   3.5  415s
 33776778 22629452  347.75544   32   53  324.00000  353.09153  8.98%   3.5  420s
 34194169 22918567  326.97011   41   39  324.00000  353.09153  8.98%   3.5  425s
 34604993 23182359  324.62073   54   10  324.00000  352.64040  8.84%   3.5  430s
 35017839 23432441  345.24619   32   51  324.00000  352.64040  8.84%   3.5  435s
 35429613 23680415  325.64236   51   13  324.00000  352.64040  8.84%   3.5  440s
 35848097 23954306  329.50424   44   27  324.00000  352.04456  8.66%   3.5  445s
 36269520 24232803  347.74695   32   52  324.00000  352.04456  8.66%   3.5  450s
 36679117 24501910  345.31362   33   47  324.00000  351.22632  8.40%   3.5  455s
 37091759 24777518  347.75544   32   53  324.00000  351.22632  8.40%   3.5  460s
 37487018 25012687  324.26554   51   16  324.00000  351.22632  8.40%   3.5  465s
 37886128 25241497  332.85754   38   42  324.00000  351.22632  8.40%   3.5  470s
 38287813 25477419  343.25938   34   46  324.00000  351.22632  8.40%   3.5  475s
 38688047 25716318  350.59613   31   55  324.00000  351.22632  8.40%   3.5  480s
 39088835 25960077  343.25938   34   46  324.00000  351.22632  8.40%   3.5  485s
 39482630 26203616  325.90830   48   19  324.00000  351.22632  8.40%   3.5  490s
 39882532 26446072  337.75590   37   43  324.00000  351.22632  8.40%   3.5  495s
 40279692 26688417  341.22523   35   45  324.00000  351.22632  8.40%   3.5  500s
 40674112 26925748  324.71470   49   18  324.00000  351.22632  8.40%   3.5  505s
 41075310 27168322     cutoff   50       324.00000  351.22632  8.40%   3.5  510s
 41469453 27408600  324.96690   53   12  324.00000  351.22632  8.40%   3.5  515s
 41864613 27653511  345.28550   33   46  324.00000  350.73207  8.25%   3.5  520s
 42275864 27892673  333.21791   39   36  324.00000  350.73207  8.25%   3.5  525s
 42678121 28129673  326.00040   50   16  324.00000  350.73207  8.25%   3.5  530s
 43087791 28373814  328.21297   45   23  324.00000  350.73207  8.25%   3.5  535s
 43494656 28609944  325.68676   51   16  324.00000  350.73207  8.25%   3.5  540s
 43898510 28848600  345.24455   33   48  324.00000  350.73207  8.25%   3.5  545s
 44310564 29101497  345.24455   33   48  324.00000  350.73207  8.25%   3.5  550s
 44722074 29360195  327.76850   46   20  324.00000  350.73207  8.25%   3.5  555s
 45133948 29615317  350.73207   31   54  324.00000  350.73207  8.25%   3.5  560s
 45543987 29868482  324.08661   46   20  324.00000  350.73207  8.25%   3.5  565s
 45951264 30122502  331.70445   42   26  324.00000  350.73207  8.25%   3.5  570s
 46363576 30393114  324.70351   46   26  324.00000  350.73207  8.25%   3.5  575s
 46777050 30678084  343.51532   34   46  324.00000  350.73207  8.25%   3.5  580s
 47189363 30958254  324.07760   60    2  324.00000  350.73207  8.25%   3.5  585s
 47595096 31222174  326.59981   48   18  324.00000  350.73207  8.25%   3.5  590s
 48002199 31479845  326.12073   51   13  324.00000  350.73207  8.25%   3.5  595s
 48418552 31765389  324.16121   58    8  324.00000  350.73207  8.25%   3.5  600s
 48833709 32049607  328.17762   45   22  324.00000  350.73207  8.25%   3.5  605s
 49247914 32335333  347.74695   32   52  324.00000  350.73207  8.25%   3.5  610s
 49665029 32623985  334.82603   40   31  324.00000  350.73207  8.25%   3.5  615s
 50078389 32905719  343.51532   34   46  324.00000  350.43097  8.16%   3.5  620s
 50486423 33172698  324.03801   60    6  324.00000  350.43097  8.16%   3.5  625s
 50901799 33444761  335.99680   39   34  324.00000  350.43097  8.16%   3.5  630s
 51321758 33716007  324.86613   47   21  324.00000  350.43097  8.16%   3.5  635s
 51732547 33988250  332.25265   40   39  324.00000  350.43097  8.16%   3.5  640s
 52151368 34265222  345.28550   33   46  324.00000  350.43097  8.16%   3.5  645s
 52559235 34530908  339.92959   36   42  324.00000  350.43097  8.16%   3.5  650s
 52981237 34804099  327.17482   47   18  324.00000  350.43097  8.16%   3.5  655s
 53399484 35074195  345.23525   33   47  324.00000  350.43097  8.16%   3.5  660s
 53807124 35318772  350.43097   31   53  324.00000  350.43097  8.16%   3.5  665s
 54227428 35584753  342.31834   35   43  324.00000  350.43097  8.16%   3.5  670s
 54637116 35837403  339.92959   36   42  324.00000  350.43097  8.16%   3.5  675s
 55046001 36086184  332.55203   41   28  324.00000  350.43097  8.16%   3.5  680s
 55456916 36336827  341.19703   35   44  324.00000  350.43097  8.16%   3.5  685s
 55859480 36585995  325.19190   52   14  324.00000  350.43097  8.16%   3.5  690s
 56268152 36830281  330.82092   43   23  324.00000  350.43097  8.16%   3.5  695s
 56678088 37083032  324.04013   58    6  324.00000  350.43097  8.16%   3.5  700s
 57090411 37345394  327.71489   46   21  324.00000  350.43097  8.16%   3.5  705s
 57500115 37604513  345.24619   32   51  324.00000  349.82921  7.97%   3.5  710s
 57899169 37851345  324.64236   53   11  324.00000  349.29052  7.81%   3.5  715s
 58287637 38088456  340.41648   35   44  324.00000  349.29052  7.81%   3.5  720s
 58684636 38331145  324.00028   60    5  324.00000  349.29052  7.81%   3.5  725s
 59075906 38568714  326.85766   47   19  324.00000  349.29052  7.81%   3.5  730s
 59477043 38802013  344.50503   33   46  324.00000  349.29052  7.81%   3.5  735s
 59881722 39044165  340.41648   35   44  324.00000  349.29052  7.81%   3.5  740s
 60282681 39280165  332.03163   42   26  324.00000  349.29052  7.81%   3.5  745s
 60683552 39501165  329.96986   44   26  324.00000  349.29052  7.81%   3.5  750s
 61087272 39730634  344.50503   33   46  324.00000  349.29052  7.81%   3.5  755s
 61481848 39960831  329.90005   44   23  324.00000  349.28064  7.80%   3.5  760s
 61875576 40195797  338.61010   36   46  324.00000  347.76110  7.33%   3.5  765s
 62287645 40458846  345.28550   33   46  324.00000  347.76110  7.33%   3.5  770s
 62710778 40727788  324.04013   59    6  324.00000  347.76110  7.33%   3.5  775s
 63131293 40995820  333.40214   39   36  324.00000  347.76110  7.33%   3.5  780s
 63557112 41267415  324.04150   55   10  324.00000  347.76110  7.33%   3.5  785s
 63979373 41533443  327.29595   47   19  324.00000  347.76110  7.33%   3.5  790s
 64391594 41762596  337.89522   37   41  324.00000  347.76110  7.33%   3.5  795s
 64798446 41993232  343.23927   34   45  324.00000  347.76110  7.33%   3.5  800s
 65200468 42221704  338.22989   37   41  324.00000  347.76110  7.33%   3.5  805s
 65606338 42446519  325.14236   52   12  324.00000  347.76110  7.33%   3.5  810s
 66011935 42671827  337.89522   37   41  324.00000  347.76110  7.33%   3.5  815s
 66419693 42906014  324.25801   51   14  324.00000  347.76110  7.33%   3.5  820s
 66824224 43130699  345.28550   33   46  324.00000  347.76110  7.33%   3.5  825s
 67217698 43378161  336.21548   38   41  324.00000  347.75867  7.33%   3.5  830s
 67623424 43637439  345.31362   33   47  324.00000  347.75867  7.33%   3.5  835s
 68028238 43895640  326.59981   48   18  324.00000  347.75867  7.33%   3.5  840s
 68433889 44151594  333.28600   39   38  324.00000  347.75867  7.33%   3.5  845s
 68843053 44412281  324.30228   58    8  324.00000  347.75867  7.33%   3.5  850s
 69250015 44669610  330.85199   43   26  324.00000  347.75867  7.33%   3.5  855s
 69651032 44922405  328.61803   45   22  324.00000  347.75867  7.33%   3.5  860s
 70058391 45178199  339.36251   36   44  324.00000  347.75867  7.33%   3.5  865s
 70462286 45435767  341.84457   35   44  324.00000  347.75867  7.33%   3.5  870s
 70866988 45694677  336.34650   37   46  324.00000  347.75867  7.33%   3.5  875s
 71264120 45947645  335.69795   39   34  324.00000  347.75867  7.33%   3.5  880s
 71663084 46199687  339.32196   37   43  324.00000  347.75867  7.33%   3.5  885s
 72063292 46457480  336.98943   38   40  324.00000  347.75867  7.33%   3.5  890s
 72465425 46704621  345.31362   33   47  324.00000  347.75867  7.33%   3.5  895s
 72865111 46951711  339.29020   36   45  324.00000  347.75867  7.33%   3.6  900s
 73259937 47199479  336.98943   38   40  324.00000  347.75544  7.33%   3.6  905s
 73679422 47468300  345.31362   33   47  324.00000  347.75544  7.33%   3.6  910s
 74095799 47735382  343.37855   34   47  324.00000  347.75544  7.33%   3.6  915s
 74513665 48006779  345.31362   33   47  324.00000  347.75544  7.33%   3.5  920s
 74933452 48279503  334.93908   40   32  324.00000  347.75544  7.33%   3.5  925s
 75341243 48550170  344.12298   34   45  324.00000  347.75544  7.33%   3.5  930s
 75749196 48835573  345.31362   33   47  324.00000  347.75544  7.33%   3.5  935s
 76166876 49117448  324.04013   59    6  324.00000  347.75544  7.33%   3.5  940s
 76581031 49401296  325.70839   50   17  324.00000  347.75544  7.33%   3.5  945s
 77003157 49686330  347.75544   32   53  324.00000  347.75544  7.33%   3.5  950s
 77421870 49974121  324.02024   45   25  324.00000  347.75544  7.33%   3.5  955s
 77839443 50262716  342.60986   35   43  324.00000  347.75544  7.33%   3.5  960s
 78259205 50547380  340.58459   36   42  324.00000  347.75544  7.33%   3.5  965s
 78674890 50831636  324.16121   58    8  324.00000  347.75544  7.33%   3.5  970s
 79088986 51116887  345.31362   33   47  324.00000  347.75544  7.33%   3.5  975s
 79510227 51401851  324.91927   47   20  324.00000  347.75544  7.33%   3.5  980s
 79931853 51689951  340.58459   36   42  324.00000  347.75544  7.33%   3.5  985s
 80351600 51976157  347.75544   32   53  324.00000  347.75544  7.33%   3.5  990s
 80776793 52263400  337.49296   37   44  324.00000  347.75544  7.33%   3.5  995s
 81193707 52543942  332.06635   42   27  324.00000  347.75544  7.33%   3.5 1000s
 81612184 52823304  332.06635   42   27  324.00000  347.75544  7.33%   3.5 1005s
 82027449 53099129  324.58076   55   11  324.00000  347.75544  7.33%   3.5 1010s
 82434031 53368406  324.34945   46   24  324.00000  347.75544  7.33%   3.5 1015s
 82833857 53621153  341.22523   35   45  324.00000  347.75544  7.33%   3.5 1020s
 83229125 53844644  327.71504   45   24  324.00000  347.75544  7.33%   3.5 1025s
 83625500 54073678  324.45817   56    9  324.00000  347.75544  7.33%   3.5 1030s
 84021869 54305241  326.93315   47   20  324.00000  347.75544  7.33%   3.5 1035s
 84412481 54542886     cutoff   50       324.00000  347.75544  7.33%   3.5 1040s
 84811476 54785431  330.72011   43   27  324.00000  347.75544  7.33%   3.5 1045s
 85202148 55020721  335.71330   38   42  324.00000  347.75544  7.33%   3.5 1050s
 85599575 55262413  327.74596   46   22  324.00000  347.75544  7.33%   3.6 1055s
 85994516 55501861  343.25938   34   46  324.00000  347.75544  7.33%   3.6 1060s
 86386601 55735025  342.33136   35   46  324.00000  347.75544  7.33%   3.6 1065s
 86781223 55975770  330.41844   43   26  324.00000  347.75544  7.33%   3.6 1070s
 87178535 56216145  333.97543   40   33  324.00000  347.75544  7.33%   3.6 1075s
 87565025 56449548  339.29020   36   45  324.00000  347.75544  7.33%   3.6 1080s
 87957606 56687678  334.90223   39   35  324.00000  347.75544  7.33%   3.6 1085s
 88343365 56916843  333.08514   41   28  324.00000  347.75544  7.33%   3.6 1090s
 88730473 57150860     cutoff   50       324.00000  347.75544  7.33%   3.6 1095s
 89127101 57388315  339.29020   36   45  324.00000  347.75544  7.33%   3.6 1100s
 89519110 57619864  327.71489   46   21  324.00000  347.75544  7.33%   3.6 1105s
 89914242 57856672  324.29243   48   18  324.00000  347.75544  7.33%   3.6 1110s
 90310085 58095317  339.36251   36   44  324.00000  347.75544  7.33%   3.6 1115s
 90718442 58363569  326.18676   50   17  324.00000  347.74695  7.33%   3.6 1120s
 91135513 58647952  336.98943   38   40  324.00000  347.74695  7.33%   3.6 1125s
 91545631 58923991  331.70445   42   26  324.00000  347.74695  7.33%   3.6 1130s
 91953258 59193033  343.13970   34   46  324.00000  347.74695  7.33%   3.6 1135s
 92369609 59465520  345.28550   33   46  324.00000  347.74695  7.33%   3.6 1140s
 92775506 59723964  324.64236   53   11  324.00000  347.74695  7.33%   3.6 1145s
 93181365 59970947  324.68114   53   13  324.00000  347.62766  7.29%   3.6 1150s
 93590313 60193114  341.55552   35   47  324.00000  347.62766  7.29%   3.6 1155s
 93994275 60412857  336.52030   38   43  324.00000  347.62766  7.29%   3.6 1160s
 94399256 60632217  335.21548   38   41  324.00000  347.62766  7.29%   3.6 1165s
 94808168 60858263  345.16561   33   48  324.00000  347.62766  7.29%   3.6 1170s
 95214614 61084416  335.21548   38   41  324.00000  347.62766  7.29%   3.6 1175s
 95621328 61309315  347.62501   32   56  324.00000  347.62766  7.29%   3.6 1180s
 96025860 61533047  324.45817   56    9  324.00000  347.62766  7.29%   3.6 1185s
 96413147 61768421  327.07777   47   21  324.00000  347.62766  7.29%   3.6 1190s
 96798319 62005560  324.82752   49   21  324.00000  347.62766  7.29%   3.6 1195s
 97188152 62243268  327.41002   46   24  324.00000  347.62766  7.29%   3.6 1200s
 97581130 62484499  334.29970   40   30  324.00000  347.62766  7.29%   3.6 1205s
 97968629 62721183  324.07787   57    7  324.00000  347.62766  7.29%   3.6 1210s
 98352259 62958527  347.62501   32   56  324.00000  347.62766  7.29%   3.6 1215s
 98737867 63198991  330.09773   43   27  324.00000  347.62766  7.29%   3.6 1220s
 99127135 63441615  336.20051   38   41  324.00000  347.62766  7.29%   3.6 1225s
 99510329 63678837  343.22182   34   46  324.00000  347.62766  7.29%   3.6 1230s
 99901792 63922294  343.22182   34   46  324.00000  347.62766  7.29%   3.6 1235s
 100286907 64165073  324.38561   57    9  324.00000  347.62766  7.29%   3.6 1240s
 100668499 64403207  345.16561   33   48  324.00000  347.62766  7.29%   3.6 1245s
 101052999 64639013  347.62501   32   56  324.00000  347.62766  7.29%   3.6 1250s
 101436908 64877591  328.59139   41   39  324.00000  347.62766  7.29%   3.6 1255s
 101814256 65111216  342.93107   34   48  324.00000  347.62766  7.29%   3.6 1260s
 102194065 65347735  324.10833   51   10  324.00000  347.62766  7.29%   3.6 1265s
 102581360 65592723  324.16121   58    8  324.00000  347.62766  7.29%   3.6 1270s
 102964512 65832220  343.22182   34   46  324.00000  347.62766  7.29%   3.6 1275s
 103349447 66074481  342.93107   34   48  324.00000  347.62766  7.29%   3.6 1280s
 103734683 66315742  339.65467   36   43  324.00000  347.62766  7.29%   3.6 1285s
 104123438 66559033  330.92223   42   29  324.00000  347.62766  7.29%   3.6 1290s
 104510535 66801117  330.31781   43   26  324.00000  347.62766  7.29%   3.6 1295s
 104895303 67037722  324.65847   54   11  324.00000  347.62766  7.29%   3.6 1300s
 105279631 67275884  329.50193   44   26  324.00000  347.62766  7.29%   3.6 1305s
 105667602 67514063  334.17662   40   34  324.00000  347.62766  7.29%   3.6 1310s
 106049363 67751294  324.16732   51   16  324.00000  347.62766  7.29%   3.6 1315s
 106443940 67997384  334.29970   40   30  324.00000  347.62766  7.29%   3.6 1320s
 106838439 68239561  325.08333   51   15  324.00000  347.62766  7.29%   3.6 1325s
 107228267 68481436  324.37016   50   11  324.00000  347.62766  7.29%   3.6 1330s
 107619076 68726024  332.58035   41   29  324.00000  347.62766  7.29%   3.6 1335s
 108007242 68967300  327.27447   46   21  324.00000  347.62766  7.29%   3.6 1340s
 108398844 69208590  337.59107   37   42  324.00000  347.62766  7.29%   3.6 1345s
 108791033 69452967  327.42528   46   23  324.00000  347.62766  7.29%   3.6 1350s
 109175339 69689599  336.46657   37   45  324.00000  347.62766  7.29%   3.6 1355s
 109564455 69934865  324.83008   52   13  324.00000  347.62766  7.29%   3.6 1360s
 109953947 70174618  334.17662   40   34  324.00000  347.62766  7.29%   3.6 1365s
 110337927 70412831  326.92895   45   22  324.00000  347.62766  7.29%   3.6 1370s
 110728307 70656559  334.21835   39   37  324.00000  347.62766  7.29%   3.6 1375s
 111119703 70900238  324.37016   50   11  324.00000  347.62766  7.29%   3.6 1380s
 111501297 71137541  325.66868   46   22  324.00000  347.62766  7.29%   3.6 1385s
 111886274 71378262  334.17662   40   34  324.00000  347.62766  7.29%   3.6 1390s
 112278414 71625267  330.09773   43   27  324.00000  347.62766  7.29%   3.6 1395s
 112655284 71861814  324.43788   48   19  324.00000  347.62766  7.29%   3.6 1400s
 113050700 72097402  331.68717   40   36  324.00000  347.58734  7.28%   3.6 1405s
 113455339 72330305     cutoff   46       324.00000  347.58734  7.28%   3.6 1410s
 113841412 72568417  331.51092   39   32  324.00000  347.58734  7.28%   3.6 1415s
