root_relax = 327.37
QCR_time = 17.3302
opt = false
obj_val = 324.25
solved_time = 2930.8475
explored_nodes = 167652178
./res/Gurobi/QCR_QP/bcc86527.txt"
Set parameter Presolve to value 0
Set parameter AggFill to value -1
Set parameter Aggregate to value 0
Set parameter Heuristics to value 0
Set parameter LPWarmStart to value 0
Set parameter NLPHeur to value 0
Set parameter NoRelHeurTime to value 0
Set parameter PreCrush to value 0
Set parameter PreDepRow to value 0
Set parameter PreDual to value 0
Set parameter PrePasses to value -1
Set parameter RINS to value 0
Set parameter Symmetry to value 0
Set parameter PreQLinearize to value 0
Set parameter NonConvex to value 0

Gurobi 12.0.0 (linux64) logging started Wed Feb  5 20:19:03 2025

Set parameter LogFile to value "./res/Gurobi/QCR_QP/bcc86527.txt"
Set parameter PreCrush to value 0
Set parameter PrePasses to value -1
Set parameter AggFill to value -1
Set parameter NoRelHeurTime to value 0
Set parameter NLPHeur to value 0
Set parameter NonConvex to value 0
Set parameter LPWarmStart to value 0
Set parameter PreDepRow to value 0
Set parameter Symmetry to value 0
Set parameter Presolve to value 0
Gurobi Optimizer version 12.0.0 build v12.0.0rc1 (linux64 - "Debian GNU/Linux 12 (bookworm)")

CPU model: Intel(R) Xeon(R) CPU E5-2650 v3 @ 2.30GHz, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 40 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  1800
LPWarmStart  0
Heuristics  0
RINS  0
NLPHeur  0
Symmetry  0
Aggregate  0
PreDual  0
NonConvex  0
PreDepRow  0
PreQLinearize  0
Presolve  0

Optimize a model with 0 rows, 78 columns and 0 nonzeros
Model fingerprint: 0x17bd6e1f
Model has 648 quadratic objective terms
Variable types: 0 continuous, 78 integer (78 binary)
Coefficient statistics:
  Matrix range     [0e+00, 0e+00]
  Objective range  [3e+00, 5e+01]
  QObjective range [1e+00, 3e+01]
  Bounds range     [0e+00, 0e+00]
  RHS range        [0e+00, 0e+00]
Variable types: 0 continuous, 78 integer (78 binary)

Root relaxation: objective -3.273672e+02, 118 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -327.36722    0   78          - -327.36722      -     -    0s
     0     0 -327.36716    0   78          - -327.36716      -     -    0s
     0     2 -327.36716    0   78          - -327.36716      -     -    0s
* 1469  2958              74    -321.0000000 -327.36716  1.98%   2.8    0s
* 2071  2939              67    -322.0000000 -327.36716  1.67%   2.9    0s
* 7222  4918              74    -323.0000000 -326.31970  1.03%   3.1    0s
* 7285  4794              73    -324.0000000 -326.31970  0.72%   3.1    0s
 550375 355354 -324.25002   55   12 -324.00000 -324.50005  0.15%   2.4    5s
 22910075 13743179 -324.25274   61    6 -324.00000 -324.25276  0.08%   2.3  170s
 23589070 14127891 -324.25276   54   14 -324.00000 -324.25276  0.08%   2.3  175s
 24257316 14536271 -324.25275   61    9 -324.00000 -324.25276  0.08%   2.3  180s
 24931014 14950470 -324.25274   63    5 -324.00000 -324.25276  0.08%   2.3  185s
 25581883 15351804 -324.25276   55   13 -324.00000 -324.25276  0.08%   2.3  190s
 26227299 15745858 -324.18750   66    3 -324.00000 -324.25276  0.08%   2.3  195s
 26856508 16132977 -324.25274   63    4 -324.00000 -324.25276  0.08%   2.3  200s
 27493326 16524831 -324.25276   54   12 -324.00000 -324.25276  0.08%   2.3  205s
 28155946 16931583 -324.25275   58   10 -324.00000 -324.25276  0.08%   2.3  210s
 28826181 17339487 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3  215s
 29513581 17759930 -324.25276   54   13 -324.00000 -324.25276  0.08%   2.3  220s
 30174870 18127039 -324.25276   57   13 -324.00000 -324.25276  0.08%   2.3  225s
 30837773 18527263 -324.25276   54   14 -324.00000 -324.25276  0.08%   2.3  230s
 31509389 18919321 -324.16667   66    2 -324.00000 -324.25276  0.08%   2.3  235s
 32173234 19316914 -324.25273   63    5 -324.00000 -324.25276  0.08%   2.3  240s
 32821381 19707148 -324.25275   58   11 -324.00000 -324.25276  0.08%   2.3  245s
 33468562 20099428 -324.12500   69    1 -324.00000 -324.25276  0.08%   2.3  250s
 34137274 20489373 -324.25276   56   13 -324.00000 -324.25276  0.08%   2.3  255s
 34804645 20888849 -324.25275   55   14 -324.00000 -324.25276  0.08%   2.3  260s
 35478033 21271596 -324.25275   57   10 -324.00000 -324.25276  0.08%   2.3  265s
 36157364 21656145 -324.25275   56   10 -324.00000 -324.25276  0.08%   2.3  270s
 36827120 22033136 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3  275s
 37490719 22409977 -324.25000   65    4 -324.00000 -324.25276  0.08%   2.3  280s
 38151440 22803575 -324.19023   66    4 -324.00000 -324.25276  0.08%   2.3  285s
 38816077 23204497 -324.25276   56   13 -324.00000 -324.25276  0.08%   2.3  290s
 39479045 23605322 -324.25274   64    5 -324.00000 -324.25276  0.08%   2.3  295s
 40142315 24003795 -324.19023   69    4 -324.00000 -324.25276  0.08%   2.3  300s
 40801373 24398485 -324.25276   56   12 -324.00000 -324.25276  0.08%   2.3  305s
 41461664 24798635 -324.25274   57   11 -324.00000 -324.25276  0.08%   2.3  310s
 42151454 25190462 -324.25274   63    5 -324.00000 -324.25276  0.08%   2.3  315s
 42833828 25598233 -324.25273   64    4 -324.00000 -324.25276  0.08%   2.3  320s
 43506279 26003616 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3  325s
 44164212 26380968 -324.18750   65    3 -324.00000 -324.25276  0.08%   2.3  330s
 44832911 26740363 -324.25001   62    5 -324.00000 -324.25276  0.08%   2.3  335s
 45483564 27098088 -324.00273   69    1 -324.00000 -324.25276  0.08%   2.3  340s
 46124096 27477933 -324.25276   55   13 -324.00000 -324.25276  0.08%   2.3  345s
 46763906 27859708 -324.25276   56   13 -324.00000 -324.25276  0.08%   2.3  350s
 47414467 28247064 -324.25276   53   13 -324.00000 -324.25276  0.08%   2.3  355s
 48074735 28635308 -324.25274   59    9 -324.00000 -324.25276  0.08%   2.3  360s
 48728760 29017783 -324.25273   67    2 -324.00000 -324.25276  0.08%   2.3  365s
 49373382 29404077 -324.25276   54   13 -324.00000 -324.25276  0.08%   2.3  370s
 50019042 29791128 -324.25273   68    2 -324.00000 -324.25276  0.08%   2.3  375s
 50667120 30174301 -324.00273   68    1 -324.00000 -324.25276  0.08%   2.3  380s
 51330941 30569938 -324.25276   58   12 -324.00000 -324.25276  0.08%   2.3  385s
 51991695 30943520 -324.25276   54   13 -324.00000 -324.25276  0.08%   2.3  390s
 52666634 31327379 -324.25275   61    8 -324.00000 -324.25276  0.08%   2.3  395s
 53321566 31710222 -324.00273   71    1 -324.00000 -324.25276  0.08%   2.3  400s
 53976499 32098113 -324.00273   71    1 -324.00000 -324.25276  0.08%   2.3  405s
 54647739 32498631 -324.25000   62    5 -324.00000 -324.25276  0.08%   2.3  410s
 55325126 32892344 -324.25274   58    9 -324.00000 -324.25276  0.08%   2.3  415s
 56007745 33274793 -324.25275   55   14 -324.00000 -324.25276  0.08%   2.3  420s
 56682828 33662610 -324.25275   55   13 -324.00000 -324.25276  0.08%   2.3  425s
 57369253 34074574 -324.25274   61    7 -324.00000 -324.25276  0.08%   2.3  430s
 58046850 34484636 -324.25275   57   10 -324.00000 -324.25276  0.08%   2.3  435s
 58709957 34861573 -324.25273   57   10 -324.00000 -324.25276  0.08%   2.3  440s
 59368595 35240231 -324.25275   55   14 -324.00000 -324.25276  0.08%   2.3  445s
 60033505 35614651 -324.25276   56   14 -324.00000 -324.25276  0.08%   2.3  450s
 60693282 35984870 -324.25274   62    4 -324.00000 -324.25276  0.08%   2.3  455s
 61355632 36349097 -324.25275   58   12 -324.00000 -324.25276  0.08%   2.3  460s
 62029702 36735827 -324.25275   59    8 -324.00000 -324.25276  0.08%   2.3  465s
 62701404 37125282 -324.25000   67    1 -324.00000 -324.25276  0.08%   2.3  470s
 63377327 37514935 -324.16940   67    3 -324.00000 -324.25276  0.08%   2.3  475s
 64047391 37886331 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3  480s
 64719302 38238928 -324.25275   57   10 -324.00000 -324.25276  0.08%   2.3  485s
 65399236 38600133 -324.25275   53   11 -324.00000 -324.25276  0.08%   2.3  490s
 66061656 38949190 -324.25276   52   12 -324.00000 -324.25276  0.08%   2.3  495s
 66723369 39295338 -324.25276   55   12 -324.00000 -324.25276  0.08%   2.3  500s
 67393415 39650794 -324.18750   66    3 -324.00000 -324.25276  0.08%   2.3  505s
 68056827 40007500 -324.25275   59    8 -324.00000 -324.25276  0.08%   2.3  510s
 68721599 40365895 -324.25275   58    9 -324.00000 -324.25276  0.08%   2.3  515s
 69381016 40736441 -324.25000   65    3 -324.00000 -324.25276  0.08%   2.3  520s
 70035746 41116881 -324.25275   59   10 -324.00000 -324.25276  0.08%   2.3  525s
 70683058 41490846 -324.25273   66    2 -324.00000 -324.25276  0.08%   2.3  530s
 71339103 41868990 -324.25275   60    9 -324.00000 -324.25276  0.08%   2.3  535s
 72001247 42254530 -324.25274   65    5 -324.00000 -324.25276  0.08%   2.3  540s
 72661817 42639229 -324.25275   59   10 -324.00000 -324.25276  0.08%   2.3  545s
 73314976 43019164 -324.25276   56   12 -324.00000 -324.25276  0.08%   2.3  550s
 73964098 43394042 -324.12773   69    2 -324.00000 -324.25276  0.08%   2.3  555s
 74609779 43769532 -324.00273   67    1 -324.00000 -324.25276  0.08%   2.3  560s
 75262358 44150878 -324.25276   56   12 -324.00000 -324.25276  0.08%   2.3  565s
 75914355 44531110 -324.25275   58    8 -324.00000 -324.25276  0.08%   2.3  570s
 76574969 44918337 -324.25276   57   12 -324.00000 -324.25276  0.08%   2.3  575s
 77218430 45292393 -324.16940   69    3 -324.00000 -324.25276  0.08%   2.3  580s
 77873363 45673892 -324.25276   57   13 -324.00000 -324.25276  0.08%   2.3  585s
 78526932 46048820 -324.25001   59    8 -324.00000 -324.25276  0.08%   2.3  590s
 79203911 46430372 -324.25275   56    9 -324.00000 -324.25276  0.08%   2.3  595s
 79855027 46805161 -324.25275   58   10 -324.00000 -324.25276  0.08%   2.3  600s
 80517846 47187592 -324.25273   66    2 -324.00000 -324.25276  0.08%   2.3  605s
 81174879 47564458 -324.16940   68    3 -324.00000 -324.25276  0.08%   2.3  610s
 81838377 47944190 -324.25274   63    5 -324.00000 -324.25276  0.08%   2.3  615s
 82493120 48319312 -324.25276   55   12 -324.00000 -324.25276  0.08%   2.3  620s
 83156269 48698115 -324.19023   66    4 -324.00000 -324.25276  0.08%   2.3  625s
 83810937 49071263 -324.25274   61    6 -324.00000 -324.25276  0.08%   2.3  630s
 84474800 49446830 -324.25276   56   12 -324.00000 -324.25276  0.08%   2.3  635s
 85129819 49824593 -324.16667   70    2 -324.00000 -324.25276  0.08%   2.3  640s
 85816871 50229695 -324.20273   64    5 -324.00000 -324.25276  0.08%   2.3  645s
 86501824 50634411 -324.25274   62    6 -324.00000 -324.25276  0.08%   2.3  650s
 87179639 51033898 -324.25274   62    6 -324.00000 -324.25276  0.08%   2.3  655s
 87849121 51392731 -324.16940   66    3 -324.00000 -324.25276  0.08%   2.3  660s
 88505732 51769655 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3  665s
 89172373 52148369 -324.25275   57   12 -324.00000 -324.25276  0.08%   2.3  670s
 89830292 52519472 -324.25275   55   12 -324.00000 -324.25276  0.08%   2.3  675s
 90504429 52905473 -324.25274   62    6 -324.00000 -324.25276  0.08%   2.3  680s
 91170784 53289785 -324.25276   53   14 -324.00000 -324.25276  0.08%   2.3  685s
 91829019 53670451 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3  690s
 92494297 54045517 -324.25273   66    2 -324.00000 -324.25276  0.08%   2.3  695s
 93169520 54428736 -324.25274   59    8 -324.00000 -324.25276  0.08%   2.3  700s
 93834114 54799526 -324.00273   70    1 -324.00000 -324.25276  0.08%   2.3  705s
 94504332 55158269 -324.25275   54   13 -324.00000 -324.25276  0.08%   2.3  710s
 95176359 55534012 -324.25275   54   13 -324.00000 -324.25276  0.08%   2.3  715s
 95850179 55919603 -324.19023   67    4 -324.00000 -324.25276  0.08%   2.3  720s
 96518896 56304700 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3  725s
 97203177 56697062 -324.16940   63    3 -324.00000 -324.25276  0.08%   2.3  730s
 97877402 57084636 -324.12773   69    2 -324.00000 -324.25276  0.08%   2.3  735s
 98557851 57473730 -324.25275   60    8 -324.00000 -324.25276  0.08%   2.3  740s
 99230079 57859324 -324.18750   69    3 -324.00000 -324.25276  0.08%   2.3  745s
 99888869 58217111 -324.25275   57   10 -324.00000 -324.25276  0.08%   2.3  750s
 100559110 58559900 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3  755s
 101226343 58905278 -324.00273   69    1 -324.00000 -324.25276  0.08%   2.3  760s
 101880841 59280779 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3  765s
 102534688 59655146 -324.19023   66    4 -324.00000 -324.25276  0.08%   2.3  770s
 103195977 60031655     cutoff   68      -324.00000 -324.25276  0.08%   2.3  775s
 103849411 60404243 -324.25273   66    2 -324.00000 -324.25276  0.08%   2.3  780s
 104504357 60774006 -324.00273   66    1 -324.00000 -324.25276  0.08%   2.3  785s
 105168553 61150619 -324.25275   58    9 -324.00000 -324.25276  0.08%   2.3  790s
 105831518 61524932 -324.25274   58    8 -324.00000 -324.25276  0.08%   2.3  795s
 106495461 61902041 -324.25274   62    7 -324.00000 -324.25276  0.08%   2.3  800s
 107158926 62276610 -324.25274   60    7 -324.00000 -324.25276  0.08%   2.3  805s
 107804995 62643606 -324.25274   64    5 -324.00000 -324.25276  0.08%   2.3  810s
 108448523 63011058 -324.25275   60    9 -324.00000 -324.25276  0.08%   2.3  815s
 109086812 63371771 -324.25000   66    2 -324.00000 -324.25276  0.08%   2.3  820s
 109739428 63735518 -324.16940   68    3 -324.00000 -324.25276  0.08%   2.3  825s
 110393751 64089590 -324.25276   57   12 -324.00000 -324.25276  0.08%   2.3  830s
 111047332 64448128 -324.25276   58   12 -324.00000 -324.25276  0.08%   2.3  835s
 111695306 64813564 -324.25275   58   11 -324.00000 -324.25276  0.08%   2.3  840s
 112357923 65189610 -324.25275   56   12 -324.00000 -324.25276  0.08%   2.3  845s
 112994887 65547902 -324.25273   65    4 -324.00000 -324.25276  0.08%   2.3  850s
 113658857 65897451 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3  855s
 114323157 66252245 -324.25275   58   11 -324.00000 -324.25276  0.08%   2.3  860s
 114975293 66615771 -324.25273   66    2 -324.00000 -324.25276  0.08%   2.3  865s
 115640449 66982533 -324.25273   65    3 -324.00000 -324.25276  0.08%   2.3  870s
 116287789 67338083 -324.25275   59   11 -324.00000 -324.25276  0.08%   2.3  875s
 116947170 67705074 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3  880s
 117616900 68074083 -324.16667   70    2 -324.00000 -324.25276  0.08%   2.3  885s
 118286479 68442799 -324.25273   64    3 -324.00000 -324.25276  0.08%   2.3  890s
 118939674 68794841 -324.25275   59    9 -324.00000 -324.25276  0.08%   2.3  895s
 119601078 69139039 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3  900s
 120255528 69485752 -324.25275   58    8 -324.00000 -324.25276  0.08%   2.3  905s
 120908875 69823551 -324.25274   60    7 -324.00000 -324.25276  0.08%   2.3  910s
 121579352 70166581 -324.25275   57    9 -324.00000 -324.25276  0.08%   2.3  915s
 122239510 70510568 -324.25274   60    6 -324.00000 -324.25276  0.08%   2.3  920s
 122900932 70849278 -324.25274   62    4 -324.00000 -324.25276  0.08%   2.3  925s
 123569907 71196820 -324.20000   67    4 -324.00000 -324.25276  0.08%   2.3  930s
 124229324 71538650 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3  935s
 124871425 71882634 -324.25273   65    3 -324.00000 -324.25276  0.08%   2.3  940s
 125513869 72237318 -324.25274   63    5 -324.00000 -324.25276  0.08%   2.3  945s
 126163566 72599889 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3  950s
 126811968 72962295 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3  955s
 127461061 73323585 -324.25275   58   10 -324.00000 -324.25276  0.08%   2.3  960s
 128109448 73687155 -324.25274   63    5 -324.00000 -324.25276  0.08%   2.3  965s
 128757206 74052454 -324.12773   69    2 -324.00000 -324.25276  0.08%   2.3  970s
 129403432 74416035 -324.25275   59   10 -324.00000 -324.25276  0.08%   2.3  975s
 130062522 74781191 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3  980s
 130703555 75136199 -324.25275   58   10 -324.00000 -324.25276  0.08%   2.3  985s
 131333481 75486804 -324.25274   62    5 -324.00000 -324.25276  0.08%   2.3  990s
 131983645 75849555 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3  995s
 132642893 76217233 -324.00273   67    1 -324.00000 -324.25276  0.08%   2.3 1000s
 133291136 76581743 -324.25274   61    7 -324.00000 -324.25276  0.08%   2.3 1005s
 133946456 76951336 -324.25273   66    2 -324.00000 -324.25276  0.08%   2.3 1010s
 134612266 77324306 -324.19023   66    4 -324.00000 -324.25276  0.08%   2.3 1015s
 135270267 77690380 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3 1020s
 135920705 78051677 -324.25274   62    7 -324.00000 -324.25276  0.08%   2.3 1025s
 136569234 78412731 -324.25274   64    5 -324.00000 -324.25276  0.08%   2.3 1030s
 137198694 78764387 -324.25275   58   10 -324.00000 -324.25276  0.08%   2.3 1035s
 137856716 79133673 -324.25275   58    9 -324.00000 -324.25276  0.08%   2.3 1040s
 138532331 79515013 -324.25275   61    8 -324.00000 -324.25276  0.08%   2.3 1045s
 139212494 79896187 -324.25274   65    5 -324.00000 -324.25276  0.08%   2.3 1050s
 139894396 80254701 -324.25273   67    3 -324.00000 -324.25276  0.08%   2.3 1055s
 140551272 80618008 -324.12773   67    2 -324.00000 -324.25276  0.08%   2.3 1060s
 141213216 80985902 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3 1065s
 141878613 81353837 -324.20000   62    4 -324.00000 -324.25276  0.08%   2.3 1070s
 142543977 81722122 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3 1075s
 143207205 82088542 -324.25000   66    1 -324.00000 -324.25276  0.08%   2.3 1080s
 143882702 82462680 -324.25274   63    4 -324.00000 -324.25276  0.08%   2.3 1085s
 144550688 82835490 -324.25275   58   10 -324.00000 -324.25276  0.08%   2.3 1090s
 145204597 83199453 -324.12773   67    2 -324.00000 -324.25276  0.08%   2.3 1095s
 145859571 83558778 -324.00273   69    1 -324.00000 -324.25276  0.08%   2.3 1100s
 146516850 83911273 -324.25275   54   11 -324.00000 -324.25276  0.08%   2.3 1105s
 147168205 84260565 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3 1110s
 147810096 84601974 -324.25275   55   11 -324.00000 -324.25276  0.08%   2.3 1115s
 148459592 84945191 -324.19023   65    4 -324.00000 -324.25276  0.08%   2.3 1120s
 149098394 85281343 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3 1125s
 149744460 85634421 -324.25275   56   10 -324.00000 -324.25276  0.08%   2.3 1130s
 150379663 85990984 -324.25274   65    4 -324.00000 -324.25276  0.08%   2.3 1135s
 150913764 86289360 -324.25274   63    7 -324.00000 -324.25276  0.08%   2.3 1140s
 151428801 86577818 -324.25273   65    2 -324.00000 -324.25276  0.08%   2.3 1145s
 152008799 86900301 -324.25275   60    9 -324.00000 -324.25276  0.08%   2.3 1150s
 152589136 87223451 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3 1155s
 153198759 87564752 -324.25000   64    3 -324.00000 -324.25276  0.08%   2.3 1160s
 153805259 87904261 -324.25275   60    8 -324.00000 -324.25276  0.08%   2.3 1165s
 154416023 88243073 -324.25275   56   10 -324.00000 -324.25276  0.08%   2.3 1170s
 155015666 88575852 -324.25273   67    2 -324.00000 -324.25276  0.08%   2.3 1175s
 155631750 88920448 -324.25275   58   11 -324.00000 -324.25276  0.08%   2.3 1180s
 156258376 89271341 -324.25274   65    4 -324.00000 -324.25276  0.08%   2.3 1185s
 156887751 89620212 -324.25273   66    2 -324.00000 -324.25276  0.08%   2.3 1190s
 157498659 89960024 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3 1195s
 158120495 90303118 -324.25275   58   11 -324.00000 -324.25276  0.08%   2.3 1200s
 158759656 90657129 -324.25275   55   11 -324.00000 -324.25276  0.08%   2.3 1205s
 159379880 91003429 -324.25273   68    2 -324.00000 -324.25276  0.08%   2.3 1210s
 160016641 91360423 -324.25273   64    4 -324.00000 -324.25276  0.08%   2.3 1215s
 160650859 91715110 -324.12773   65    2 -324.00000 -324.25276  0.08%   2.3 1220s
 161278450 92063628 -324.19023   68    4 -324.00000 -324.25276  0.08%   2.3 1225s
 161915240 92419542 -324.25274   64    4 -324.00000 -324.25276  0.08%   2.3 1230s
 162543686 92767699 -324.25275   59   10 -324.00000 -324.25276  0.08%   2.3 1235s
 163179185 93121891 -324.25275   59    9 -324.00000 -324.25276  0.08%   2.3 1240s
 163814097 93476264 -324.25274   62    6 -324.00000 -324.25276  0.08%   2.3 1245s
 164431001 93819773 -324.25275   57   11 -324.00000 -324.25276  0.08%   2.3 1250s
 165003580 94139946 -324.25275   56   11 -324.00000 -324.25276  0.08%   2.3 1255s
 165517834 94423716 -324.16940   68    3 -324.00000 -324.25276  0.08%   2.3 1260s
 165926260 94651831 -324.25275   58   10 -324.00000 -324.25276  0.08%   2.3 1265s
 166328468 94874892 -324.25273   68    2 -324.00000 -324.25276  0.08%   2.3 1270s
 166672360 95067925 -324.16940   67    3 -324.00000 -324.25276  0.08%   2.3 1275s
 167024120 95266296 -324.25274   63    7 -324.00000 -324.25276  0.08%   2.3 1280s
 167422931 95489628 -324.25274   62    7 -324.00000 -324.25276  0.08%   2.3 1285s
 167642355 95612062 -324.25274   62    7 -324.00000 -324.25276  0.08%   2.3 1910s

Explored 167652178 nodes (381343423 simplex iterations) in 2929.82 seconds (444.43 work units)
Thread count was 20 (of 40 available processors)

Solution count 4: -324 -323 -322 -321 

Time limit reached
